index,API name,API method name,utterance,parameters,REQUIRED PARAMETERS,VALUES,FORMAT,ID,TECHNICAL,INTER-DEPENDENCY,SEMANTIC RELEVANT
4,Cricket Live Data,Results By Date,"Can you get the cricket scores for February 14, 2023?",{'date': '2023-02-14'},,,,,,,
4,Cricket Live Data,Results By Date,"What were the cricket match results on January 5, 2023?",{'date': '2023-01-05'},,,,,,,
5,Dezgo,/text2image,Create an image of a futuristic cityscape at night with neon lights.,{'prompt': 'futuristic cityscape at night with neon lights'},,,,,,,
5,Dezgo,/text2image,Generate a portrait of a medieval knight in shining armor.,{'prompt': 'medieval knight in shining armor'},,,,,,,
5,Dezgo,/text2image,I want an image of a serene beach at sunset with palm trees.,{'prompt': 'serene beach at sunset with palm trees'},,,,,,,
5,Dezgo,/text2image,Create a digital art piece of a dragon flying over mountains.,"{'prompt': 'dragon flying over mountains', 'model': 'epic_diffusion_1_1'}",,,,,,,
5,Dezgo,/text2image,Generate an image of a bustling market in an ancient city.,"{'prompt': 'bustling market in an ancient city', 'width': 800, 'height': 600}",,,,,,,
5,Dezgo,/text2image,Create an image of a fantasy forest with glowing plants.,"{'prompt': 'fantasy forest with glowing plants', 'guidance': 10}",,,,,,,
5,Dezgo,/text2image,I need an image of a futuristic robot in a laboratory setting.,"{'prompt': 'futuristic robot in a laboratory setting', 'steps': 50}",,,,,,,
5,Dezgo,/text2image,Generate a picture of a cozy cabin in the snowy mountains.,"{'prompt': 'cozy cabin in the snowy mountains', 'sampler': 'euler'}",,,,,,,
5,Dezgo,/text2image,Create an image of a bustling city street in the rain.,"{'prompt': 'bustling city street in the rain', 'upscale': 2}",,,,,,,
5,Dezgo,/text2image,I want an image of a mystical underwater scene with colorful fish.,"{'prompt': 'mystical underwater scene with colorful fish', 'negative_prompt': 'blurry, grainy'}",,,,,,,
6,EveryEarthquake,Earthquakes,Show me the most recent earthquakes with a magnitude of at least 5.,{'magnitude': '5'},,,,,,,
6,EveryEarthquake,Earthquakes,Find earthquakes near Los Angeles with a radius of 50 miles.,"{'latitude': '34.0522', 'longitude': '-118.2437', 'radius': '50', 'units': 'miles'}",,,,,,,
6,EveryEarthquake,Earthquakes,List the recent quarry blasts.,{'type': 'quarry blasts'},,,,,,,
6,EveryEarthquake,Earthquakes,Get the latest 200 earthquakes worldwide.,{'count': '200'},,,,,,,
6,EveryEarthquake,Earthquakes,Show earthquakes with an intensity of at least 4.,{'intensity': '4'},,,,,,,
6,EveryEarthquake,Earthquakes,Find explosions recorded on the Richter scale.,{'type': 'explosions'},,,,,,,
6,EveryEarthquake,Earthquakes,Retrieve earthquakes near Tokyo with a 100 km radius.,"{'latitude': '35.6895', 'longitude': '139.6917', 'radius': '100', 'units': 'kilometers'}",,,,,,,
6,EveryEarthquake,Earthquakes,List the most recent 50 earthquakes with a magnitude of at least 6.,"{'magnitude': '6', 'count': '50'}",,,,,,,
6,EveryEarthquake,Earthquakes,Get earthquakes near San Francisco with a radius of 30 miles.,"{'latitude': '37.7749', 'longitude': '-122.4194', 'radius': '30', 'units': 'miles'}",,,,,,,
6,EveryEarthquake,Earthquakes,Show me the latest 500 earthquakes starting from the 100th record.,"{'count': '500', 'start': '100'}",,,,,,,
7,Flightera Flight Data,airlineStatistics,Can you provide the latest statistics for the airline with ICAO code AAL?,{'icao': 'AAL'},,,,,,,
7,Flightera Flight Data,airlineStatistics,I need the performance data for the airline identified by the code DAL.,{'icao': 'DAL'},,,,,,,
7,Flightera Flight Data,airlineStatistics,What are the current statistics for the airline with IATA code AA?,{'iata': 'AA'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Please give me the on-time performance for the airline with ident 12345.,{'ident': '12345'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Fetch the detailed statistics for the airline with ICAO code UAL.,{'icao': 'UAL'},,,,,,,
7,Flightera Flight Data,airlineStatistics,I want to know the flight status for the airline with IATA code BA.,{'iata': 'BA'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Can you show me the statistics for the airline identified by the code LUV?,{'icao': 'LUV'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Get the latest performance data for the airline with ident 67890.,{'ident': '67890'},,,,,,,
7,Flightera Flight Data,airlineStatistics,What are the statistics for the airline with IATA code DL?,{'iata': 'DL'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Provide the current day's statistics for the airline with ICAO code SWA.,{'icao': 'SWA'},,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,What are the departure delay statistics for JFK airport on 2023-10-15?,"{'isDeparture': True, 'dt': '2023-10-15', 'ident': 'JFK'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,"Can you provide the arrival delay stats for LAX on September 20, 2023?","{'isDeparture': False, 'dt': '2023-09-20', 'ident': 'LAX'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Show me the departure delays for Heathrow on 2023-11-01.,"{'isDeparture': True, 'dt': '2023-11-01', 'ident': 'Heathrow'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,"I need the arrival delay statistics for O'Hare on October 5, 2023.","{'isDeparture': False, 'dt': '2023-10-05', 'ident': ""O'Hare""}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,What are the departure delays for Frankfurt airport on 2023-12-12?,"{'isDeparture': True, 'dt': '2023-12-12', 'ident': 'Frankfurt'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Give me the arrival delay stats for Dubai International on 2023-08-25.,"{'isDeparture': False, 'dt': '2023-08-25', 'ident': 'Dubai International'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Can you tell me the departure delay statistics for Sydney airport on 2023-09-30?,"{'isDeparture': True, 'dt': '2023-09-30', 'ident': 'Sydney'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,I want to know the arrival delays for Tokyo Narita on 2023-10-10.,"{'isDeparture': False, 'dt': '2023-10-10', 'ident': 'Tokyo Narita'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Please provide the departure delay statistics for San Francisco airport on 2023-11-20.,"{'isDeparture': True, 'dt': '2023-11-20', 'ident': 'San Francisco'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,What are the arrival delay stats for Amsterdam Schiphol on 2023-12-01?,"{'isDeparture': False, 'dt': '2023-12-01', 'ident': 'Amsterdam Schiphol'}",,,,,,,
9,Foreca Weather,Daily,What's the daily weather forecast for New York City?,{'location': 'New York City'},,,,,,,
9,Foreca Weather,Daily,Can you provide the weather forecast for Los Angeles with temperatures in Fahrenheit?,"{'location': 'Los Angeles', 'tempunit': 'F'}",,,,,,,
9,Foreca Weather,Daily,Give me the weather forecast for Denver at an altitude of 1600 meters.,"{'location': 'Denver', 'alt': 1600}",,,,,,,
9,Foreca Weather,Daily,What's the weather like in Miami with wind speed in kilometers per hour?,"{'location': 'Miami', 'windunit': 'KMH'}",,,,,,,
9,Foreca Weather,Daily,I need the daily weather forecast for Chicago with a detailed dataset.,"{'location': 'Chicago', 'dataset': 'detailed'}",,,,,,,
9,Foreca Weather,Daily,Show me the weather forecast for Seattle for the next 10 periods.,"{'location': 'Seattle', 'periods': 10}",,,,,,,
9,Foreca Weather,Daily,What's the weather forecast for San Francisco with temperatures in Celsius and wind speed in miles per hour?,"{'location': 'San Francisco', 'tempunit': 'C', 'windunit': 'MPH'}",,,,,,,
9,Foreca Weather,Daily,Can I get the weather forecast for Boston with the full dataset?,"{'location': 'Boston', 'dataset': 'full'}",,,,,,,
9,Foreca Weather,Daily,Provide the weather forecast for Austin with wind speed in meters per second.,"{'location': 'Austin', 'windunit': 'MS'}",,,,,,,
9,Foreca Weather,Daily,What's the daily weather forecast for Las Vegas with a maximum of 12 periods?,"{'location': 'Las Vegas', 'periods': 12}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,"Send a WhatsApp message saying 'Hello, how are you?' to the number 919876543210 with ID 45.","{'your_number': '919876543210', 'your_message': 'Hello, how are you?', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Deliver the message 'Meeting is scheduled for 3 PM' to 919876543210 using ID 45.,"{'your_number': '919876543210', 'your_message': 'Meeting is scheduled for 3 PM', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send 'Don't forget to submit your report' to 919876543210 with the ID 45.,"{'your_number': '919876543210', 'your_message': ""Don't forget to submit your report"", 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,"Send a WhatsApp message 'Happy Birthday!' to 919876543210, ID 45.","{'your_number': '919876543210', 'your_message': 'Happy Birthday!', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send 'Your appointment is confirmed for tomorrow' to 919876543210 with ID 45.,"{'your_number': '919876543210', 'your_message': 'Your appointment is confirmed for tomorrow', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send the message 'Please call me back' to 919876543210 using ID 45.,"{'your_number': '919876543210', 'your_message': 'Please call me back', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send 'Your order has been shipped' to 919876543210 with ID 45.,"{'your_number': '919876543210', 'your_message': 'Your order has been shipped', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,"Send a WhatsApp message 'Thank you for your purchase!' to 919876543210, ID 45.","{'your_number': '919876543210', 'your_message': 'Thank you for your purchase!', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send 'Your subscription is about to expire' to 919876543210 with ID 45.,"{'your_number': '919876543210', 'your_message': 'Your subscription is about to expire', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send the message 'Welcome to our service!' to 919876543210 using ID 45.,"{'your_number': '919876543210', 'your_message': 'Welcome to our service!', 'id': 45}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),"I need a room for 2 adults at hotel ID 1105156, checking in on 2023-10-01 and checking out on 2023-10-05.","{'adults_number': 2, 'checkin_date': '2023-10-01', 'checkout_date': '2023-10-05', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 1105156}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),Book a room for 3 adults at hotel ID 1234567 from 2023-11-10 to 2023-11-15.,"{'adults_number': 3, 'checkin_date': '2023-11-10', 'checkout_date': '2023-11-15', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 1234567}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),"Find available rooms for 1 adult at hotel ID 9876543, checking in on 2023-12-20 and out on 2023-12-25.","{'adults_number': 1, 'checkin_date': '2023-12-20', 'checkout_date': '2023-12-25', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 9876543}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),"I need a room for 4 adults at hotel ID 5555555, from 2024-01-15 to 2024-01-20.","{'adults_number': 4, 'checkin_date': '2024-01-15', 'checkout_date': '2024-01-20', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 5555555}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),"Reserve a room for 2 adults and 2 children aged 5 and 7 at hotel ID 2222222, checking in on 2023-09-30 and out on 2023-10-05.","{'adults_number': 2, 'checkin_date': '2023-09-30', 'checkout_date': '2023-10-05', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 2222222, 'children_ages': '5,7'}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),"Get a room for 1 adult at hotel ID 3333333, from 2023-10-10 to 2023-10-12.","{'adults_number': 1, 'checkin_date': '2023-10-10', 'checkout_date': '2023-10-12', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 3333333}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),"I need a room for 3 adults at hotel ID 4444444, checking in on 2023-11-01 and checking out on 2023-11-05.","{'adults_number': 3, 'checkin_date': '2023-11-01', 'checkout_date': '2023-11-05', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 4444444}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),"Book a room for 2 adults and a child aged 3 at hotel ID 6666666, from 2023-12-01 to 2023-12-06.","{'adults_number': 2, 'checkin_date': '2023-12-01', 'checkout_date': '2023-12-06', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 6666666, 'children_ages': '3'}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),"Find a room for 2 adults at hotel ID 7777777, checking in on 2024-01-05 and out on 2024-01-10.","{'adults_number': 2, 'checkin_date': '2024-01-05', 'checkout_date': '2024-01-10', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 7777777}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),"Reserve a room for 1 adult at hotel ID 8888888, from 2023-09-15 to 2023-09-20.","{'adults_number': 1, 'checkin_date': '2023-09-15', 'checkout_date': '2023-09-20', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 8888888}",,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,Show me kanji characters for grade 1 students.,{'grade': '1'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,What kanji should a grade 3 student learn?,{'grade': '3'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,List the kanji for grade 5.,{'grade': '5'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,Can you provide the kanji for grade 2?,{'grade': '2'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,I need the kanji list for grade 4.,{'grade': '4'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,What are the kanji characters taught in grade 6?,{'grade': '6'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,Find kanji for grade 7.,{'grade': '7'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,Which kanji are included in the grade 8 curriculum?,{'grade': '8'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,Give me the kanji for grade 9.,{'grade': '9'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,What kanji do grade 10 students learn?,{'grade': '10'},,,,,,,
13,Movie Database Alternative,By Search,Find information about the movie Inception.,{'s': 'Inception'},,,,,,,
13,Movie Database Alternative,By Search,Search for the 1994 movie The Shawshank Redemption.,"{'s': 'The Shawshank Redemption', 'y': '1994'}",,,,,,,
13,Movie Database Alternative,By Search,Get details on the TV series Friends.,"{'s': 'Friends', 'type': 'series'}",,,,,,,
13,Movie Database Alternative,By Search,Look up the movie Titanic released in 1997.,"{'s': 'Titanic', 'y': '1997'}",,,,,,,
13,Movie Database Alternative,By Search,Find the movie The Godfather on page 2 of the search results.,"{'s': 'The Godfather', 'page': '2'}",,,,,,,
13,Movie Database Alternative,By Search,Search for the documentary Planet Earth.,"{'s': 'Planet Earth', 'type': 'documentary'}",,,,,,,
13,Movie Database Alternative,By Search,Get information about the movie Avatar.,{'s': 'Avatar'},,,,,,,
13,Movie Database Alternative,By Search,Find the 2010 film The Social Network.,"{'s': 'The Social Network', 'y': '2010'}",,,,,,,
13,Movie Database Alternative,By Search,Look up the series Breaking Bad.,"{'s': 'Breaking Bad', 'type': 'series'}",,,,,,,
13,Movie Database Alternative,By Search,Search for the movie Pulp Fiction.,{'s': 'Pulp Fiction'},,,,,,,
14,Netflix_v2,Search,Find information about the TV show 'Breaking Bad'.,{'query': 'Breaking Bad'},,,,,,,
14,Netflix_v2,Search,Search for the movie 'Inception' in Spanish.,"{'query': 'Inception', 'lang': 'es'}",,,,,,,
14,Netflix_v2,Search,Get details on 'The Crown' with a limit of 10 titles.,"{'query': 'The Crown', 'limit_titles': 10}",,,,,,,
14,Netflix_v2,Search,Look up 'Stranger Things' and provide 5 suggestions.,"{'query': 'Stranger Things', 'limit_suggestions': 5}",,,,,,,
14,Netflix_v2,Search,Search for 'The Witcher' and start from the 5th result.,"{'query': 'The Witcher', 'offset': 5}",,,,,,,
14,Netflix_v2,Search,Find the documentary 'Our Planet' with a title limit of 15.,"{'query': 'Our Planet', 'limit_titles': 15}",,,,,,,
14,Netflix_v2,Search,Get information on 'Narcos' in French.,"{'query': 'Narcos', 'lang': 'fr'}",,,,,,,
14,Netflix_v2,Search,Search for 'Black Mirror' and limit suggestions to 3.,"{'query': 'Black Mirror', 'limit_suggestions': 3}",,,,,,,
14,Netflix_v2,Search,Look up 'Money Heist' with a title limit of 5 and start from the 2nd result.,"{'query': 'Money Heist', 'limit_titles': 5, 'offset': 2}",,,,,,,
14,Netflix_v2,Search,Find details about 'The Irishman' in German.,"{'query': 'The Irishman', 'lang': 'de'}",,,,,,,
15,NOWPayments,3.Getestimatedprice,What is the estimated price in Bitcoin for 1000 USD?,"{'x-api-key': '<your_api_key>', 'currency_to': 'btc', 'currency_from': 'usd', 'amount': 1000}",,,,,,,
15,NOWPayments,3.Getestimatedprice,Convert 500 EUR to Ethereum.,"{'x-api-key': '<your_api_key>', 'currency_to': 'eth', 'currency_from': 'eur', 'amount': 500}",,,,,,,
15,NOWPayments,3.Getestimatedprice,How much Litecoin can I get for 750 NZD?,"{'x-api-key': '<your_api_key>', 'currency_to': 'ltc', 'currency_from': 'nzd', 'amount': 750}",,,,,,,
15,NOWPayments,3.Getestimatedprice,Calculate the equivalent of 2000 BRL in Ripple.,"{'x-api-key': '<your_api_key>', 'currency_to': 'xrp', 'currency_from': 'brl', 'amount': 2000}",,,,,,,
15,NOWPayments,3.Getestimatedprice,What is the value of 150 GBP in Dogecoin?,"{'x-api-key': '<your_api_key>', 'currency_to': 'doge', 'currency_from': 'gbp', 'amount': 150}",,,,,,,
15,NOWPayments,3.Getestimatedprice,Estimate the price of 3000 USD in Cardano.,"{'x-api-key': '<your_api_key>', 'currency_to': 'ada', 'currency_from': 'usd', 'amount': 3000}",,,,,,,
15,NOWPayments,3.Getestimatedprice,How many Binance Coins can I get for 1200 EUR?,"{'x-api-key': '<your_api_key>', 'currency_to': 'bnb', 'currency_from': 'eur', 'amount': 1200}",,,,,,,
15,NOWPayments,3.Getestimatedprice,Convert 450 NZD to Polkadot.,"{'x-api-key': '<your_api_key>', 'currency_to': 'dot', 'currency_from': 'nzd', 'amount': 450}",,,,,,,
15,NOWPayments,3.Getestimatedprice,What is the estimated price in Bitcoin Cash for 600 BRL?,"{'x-api-key': '<your_api_key>', 'currency_to': 'bch', 'currency_from': 'brl', 'amount': 600}",,,,,,,
15,NOWPayments,3.Getestimatedprice,Calculate the equivalent of 800 GBP in Stellar.,"{'x-api-key': '<your_api_key>', 'currency_to': 'xlm', 'currency_from': 'gbp', 'amount': 800}",,,,,,,
16,OTT details,Advanced Search,Find the highest rated action movies released between 2000 and 2010.,"{'start_year': 2000, 'end_year': 2010, 'genre': 'action', 'sort': 'highestrated'}",,,,,,,
16,OTT details,Advanced Search,Show me comedy shows in English with an IMDb rating between 6 and 8.,"{'type': 'show', 'genre': 'comedy', 'language': 'english', 'min_imdb': 6, 'max_imdb': 8}",,,,,,,
16,OTT details,Advanced Search,List the latest horror movies available.,"{'genre': 'horror', 'sort': 'latest'}",,,,,,,
16,OTT details,Advanced Search,What are the oldest drama movies in German?,"{'genre': 'drama', 'language': 'german', 'sort': 'oldest'}",,,,,,,
16,OTT details,Advanced Search,Find movies released in 1995 with an IMDb rating above 7.,"{'start_year': 1995, 'end_year': 1995, 'min_imdb': 7}",,,,,,,
16,OTT details,Advanced Search,Show me the lowest rated sci-fi shows.,"{'type': 'show', 'genre': 'sci-fi', 'sort': 'lowestrated'}",,,,,,,
16,OTT details,Advanced Search,List all English and French movies from 2010 to 2015.,"{'start_year': 2010, 'end_year': 2015, 'language': 'english,french'}",,,,,,,
16,OTT details,Advanced Search,Find the top-rated romantic movies from the 1980s.,"{'start_year': 1980, 'end_year': 1989, 'genre': 'romantic', 'sort': 'highestrated'}",,,,,,,
16,OTT details,Advanced Search,What are the latest thriller shows with an IMDb rating of at least 7.5?,"{'type': 'show', 'genre': 'thriller', 'min_imdb': 7.5, 'sort': 'latest'}",,,,,,,
16,OTT details,Advanced Search,List all movies in Spanish released before 2000.,"{'end_year': 1999, 'language': 'spanish'}",,,,,,,
17,Postal Ninja,createTrack,Can you track the package with the tracking number 1Z999AA10123456784?,{'trackCode': '1Z999AA10123456784'},,,,,,,
17,Postal Ninja,createTrack,I need to find the status of my shipment with tracking code 1234567890.,{'trackCode': '1234567890'},,,,,,,
17,Postal Ninja,createTrack,Please track the parcel with tracking number 9876543210 and carrier ID UPS.,"{'trackCode': '9876543210', 'ds': 'UPS'}",,,,,,,
17,Postal Ninja,createTrack,What is the current status of the package with tracking code AB123456789CD?,{'trackCode': 'AB123456789CD'},,,,,,,
17,Postal Ninja,createTrack,Track my package with tracking number 1Z12345E1512345676 and destination country US.,"{'trackCode': '1Z12345E1512345676', 'destCountry': 'US'}",,,,,,,
17,Postal Ninja,createTrack,Can you provide the tracking details for the package with code 1122334455?,{'trackCode': '1122334455'},,,,,,,
17,Postal Ninja,createTrack,I need to track a shipment with tracking number 9988776655 and carrier ID FedEx.,"{'trackCode': '9988776655', 'ds': 'FedEx'}",,,,,,,
17,Postal Ninja,createTrack,Please find the status of my parcel with tracking code 5566778899.,{'trackCode': '5566778899'},,,,,,,
17,Postal Ninja,createTrack,Track the package with tracking number 123ABC456DEF and destination country code CA.,"{'trackCode': '123ABC456DEF', 'destCountry': 'CA'}",,,,,,,
17,Postal Ninja,createTrack,What is the delivery status of the package with tracking code 1Z98765E1512345678?,{'trackCode': '1Z98765E1512345678'},,,,,,,
18,Recipe - Food - Nutrition,Generate Shopping List,Generate my shopping list from June 1st to June 7th.,"{'start-date': '2020-06-01', 'end-date': '2020-06-07', 'username': 'dsky', 'hash': '4b5v4398573406'}",,,,,,,
