api,api_method,utterance,human_judge,gpt-4.1_judge,Meta-Llama-3.1-70B-Instruct-Turbo_judge
MoviesDatabase,/actors/{id},Show me the information for the actor whose ID is nm0000093.,unnatural,unnatural,unnatural
TikTok Downloader - Download TikTok Videos without watermark,"video without watermark [mp4,mp3,cover,desc,region,wt]",Can you get the TikTok video without watermark from this URL: https://vm.tiktok.com/ZMFnohMVX/?,natural,natural,natural
Omniinfer,Image to  Image,Transform this image into a hentai style using the NSFW model.,unnatural,unnatural,unnatural
SolarEnergyPrediction,/v2.0/solar/estimation,"What is the estimated solar power output for a PV plant located at latitude 40.7128, longitude -74.0060 with an installed capacity of 15000 Watt-Peak?",unnatural,unnatural,unnatural
MoviesDatabase,/titles/{id}/ratings,What are the ratings for the episode with IMDb ID tt0705922?,unnatural,unnatural,unnatural
Virtual Number,View SMS history,Display the SMS history for the number 79034134722 in country ID 7.,unnatural,unnatural,unnatural
Horse Racing,Query races,Find races with a distance from 1600m to 2400m.,natural,natural,unnatural
TrackingMore_v2,carriers/detect,Can you tell me the carrier for the package with tracking number KL654987321?,natural,natural,natural
Find any IP address or Domain Location world wide,IP location by domain name,Can you find the geo information for the domain youtube.com?,natural,unnatural,unnatural
MoviesDatabase,/actors/random,Provide me with a random actor's profile from the MoviesDatabase.,unnatural,unnatural,unnatural
Transportistas de Argentina,/quotes/postcode/andreani/:clientNumber/:contractNumber/:officeIsoSrc/:postCodeDst,¿Cuánto costaría enviar un paquete desde la oficina AR9101 al código postal 3000? Mi número de cliente es CL9101 y el contrato CN1011.,natural,natural,natural
webcams.travel,"/webcams/list/limit={limit},{offset}",Fetch 40 webcams starting from the 15th one with their continents.,unnatural,unnatural,unnatural
inboxes.com,ActivateInbox,Can you activate the inbox 'temp@getnada.com' and wait for emails?,unnatural,natural,natural
CAISO,caisoregion,What regions are included in CAISO's node price tracking?,natural,natural,natural
Horse Racing,Racecards,I need the race list for August 15th.,natural,natural,natural
GamerPower,Live giveaways by type,Show me the active beta giveaways.,unnatural,natural,natural
Horse Racing,Query races,Find races at Ascot with a minimum class of 2 and a maximum class of 4.,natural,natural,natural
Virtual Number,Get All Countries,Provide the list of countries where I can receive SMS using virtual numbers.,natural,unnatural,unnatural
Amazon Product Price Data,product,What is the latest price for ASINs B005YQZ1KE and B074R8RQQ2 on Amazon Canada?,natural,unnatural,unnatural
Football Prediction,Performance stats for past predictions,Show me the accuracy of past predictions in the 'over/under' market.,natural,natural,natural
Live Metal Prices,Latest In chosen currency,"Get me the live prices for gold, silver, palladium, and platinum in USD.",natural,natural,natural
Newscatcher,/v1/search_enterprise,Get the latest news about the US elections from CNN and Fox News.,natural,natural,natural
TikTok Downloader - Download TikTok Videos without watermark,Video full info by URL,Please download the TikTok video from this link: https://www.tiktok.com/@testuser/video/1122334455.,natural,natural,natural
Sentiment Analysis,Analyze (post),"What is the tone of the comment 'I love the new design, it's very user-friendly.'?",natural,natural,natural
MoviesDatabase,/actors,Display 5 actors from the MoviesDatabase.,unnatural,unnatural,unnatural
CAISO,caiso,Provide the net demand data for the entire year of 2021.,unnatural,unnatural,unnatural
Microsoft Authenticator,enroll,Enroll my account with the secret code IH225HMVWDS3XJVY.,unnatural,unnatural,unnatural
GamerPower,Live giveaways by platform & type & sorted,Find me the latest giveaways for Xbox sorted by popularity.,natural,natural,natural
Google Translate,Detect Language,What language is this: 'Tack för att du använder vår tjänst'?,natural,natural,natural
Tasty,feeds/list,"Retrieve the latest vegetarian feeds in the timezone +0900, skipping the first 5 items, and return 6 items per page.",unnatural,unnatural,unnatural
Mobile Phone Specs Database,List all {Phone Brands},Show me all the brands of mobile phones you have information on.,natural,natural,natural
