api,api_method,utterance,human_judge,gpt-4.1_judge,Meta-Llama-3.1-70B-Instruct-Turbo_judge
Quality Porn,Live cams,Find live cams featuring MILF performers.,unnatural,natural,natural
webcams.travel,"/webcams/list/exclude={webcamid}[,{webcamid}[,...]]",Can you filter out the webcam at the Statue of Liberty?,unnatural,natural,natural
Quality Porn,Live tags,Find live tags for female performers.,unnatural,unnatural,natural
IP Geolocation - IPWHOIS.io,JSON endpoint,Can you tell me the location of the IP address 192.168.1.1?,natural,natural,natural
webcams.travel,"/webcams/list/limit={limit},{offset}","Show me 5 webcams, starting from the 20th.",unnatural,natural,unnatural
Quality Porn,Pornstar search,Show me details for Riley Reid.,natural,natural,natural
TikTok Downloader - Download TikTok Videos without watermark,Video full info by URL,Get the TikTok video without the watermark from this URL.,natural,natural,natural
GamerPower,Total live giveaways & worth estimation in dollars,What’s the total dollar value of the current giveaways?,natural,natural,natural
Tasty,recipes/detail (Deprecated),What are the ingredients and preparation steps for recipe ID 67890?,unnatural,unnatural,unnatural
unogsNG,People,I need details about Denzel Washington.,natural,natural,natural
Tasty,recipes/auto-complete,Suggest some recipes for a quick lunch.,natural,natural,natural
Newscatcher,/v1/search_enterprise,Find articles about health from sources ranked between 100 and 500.,unnatural,unnatural,unnatural
Cricket Live Data,Results By Date,Give me the results of the cricket games played on 2023-01-15.,natural,unnatural,natural
Forecast,RapidApiGetForecastSummaryByCoordinates,Can I get the 16-day weather summary for Beijing?,natural,natural,natural
GamerPower,Filter & Group Giveaways,Show me the latest giveaways for Steam and Epic Games Store.,natural,natural,natural
MoviesDatabase,/titles/{id}/main_actors,Who are the lead actors in the series with IMDb ID tt8901234?,unnatural,unnatural,unnatural
MoviesDatabase,/actors/{id},What do you know about Jennifer Lawrence?,natural,natural,natural
Extract News,Article,Get the structured content from this URL about coronavirus conspiracy theories.,natural,unnatural,unnatural
Cricket Live Data,Fixtures By Date,"What’s on the cricket calendar for February 14, 2024?",natural,natural,natural
Omniinfer,Image to  Image,I want to turn this picture into a new image.,natural,natural,natural
Domainr,/v2/register,How can I register the domain mybusiness.com?,natural,natural,natural
Virtual Number,View SMS history,Could you fetch the SMS messages for 79034134722 in Russia?,natural,unnatural,unnatural
Live Metal Prices,"Latest (retrieve XAU, XAG, PA, PL, EUR, GBP, USD)",Could you give me the real-time silver price in USD?,natural,natural,natural
Extract News,Article,Can you extract data from this article about Bill Gates and coronavirus?,natural,natural,natural
unogsNG,Title Genres,Please provide the genres for the Netflix show with ID 80513042.,unnatural,unnatural,unnatural
Omniinfer,Image to  Image,Generate a new image using this photo as a reference.,natural,natural,natural
Football Prediction,Home Team Last 10 Matches,What were the results of the last 10 games for Liverpool?,natural,natural,natural
Tasty,tips/list,What do people say about the recipe with id 3141?,unnatural,unnatural,unnatural
