api,api_method,utterance,human_judge,gpt-4.1_judge,Meta-Llama-3.1-70B-Instruct-Turbo_judge
BIN/IP Checker,BIN/IP Checker,I need information on BIN 654321 and check it against IP 192.168.1.1.,unnatural,unnatural,unnatural
Transportistas de Argentina,/cities/states/:stateIsoCode,Can you list all the cities in the state with ISO code AR-C?,unnatural,unnatural,unnatural
Microsoft Authenticator,validate,Can you validate the TOTP using the secret code IH225HMVWDS3XJVY and the temporary code 425079?,unnatural,unnatural,unnatural
unogsNG,Images,"I need images for the Netflix title with ID 80117470, but only show me the first 3.",unnatural,unnatural,unnatural
SolarEnergyPrediction,/v2.0/solar/prediction,What is the solar power prediction for a PV plant using the default decoration format?,unnatural,unnatural,unnatural
NLP Translation,Translate,Translate 'Goodbye' into Korean.,natural,natural,natural
Tasty,feeds/list,"I want to see the latest vegetarian food feeds in the GMT+0530 timezone, starting from the 2nd item, with 6 items listed.",unnatural,unnatural,unnatural
MoviesDatabase,/actors,Show me the first page of actors.,unnatural,unnatural,natural
webcams.travel,"/webcams/list/nearby={lat},{lng},{radius}",Show me webcams 20 kilometers around the Colosseum in Rome.,unnatural,natural,natural
Horse Racing,Race detail info,Could you provide all the detailed information for the race with ID 207660?,unnatural,unnatural,unnatural
MoviesDatabase,/titles,List the top-rated series with detailed info.,natural,unnatural,natural
unogsNG,Images,Show me all the images for the Netflix title with ID 81037848.,unnatural,unnatural,unnatural
Cricket Live Data,Match Scorecard,What are the current scores for the match with ID 2433006?,unnatural,unnatural,unnatural
Newscatcher,/v1/search_free,Find technology news articles in German.,natural,natural,natural
MoviesDatabase,/titles/utils/genres,What genres can I find in the MoviesDatabase for movies and TV shows?,unnatural,unnatural,unnatural
Find any IP address or Domain Location world wide,"IP Location by IPv4, IPv6 IP Address",Locate the IP address 203.0.113.1 for me.,natural,unnatural,unnatural
Quality Porn,Pornstar by name,I want to see the images of the pornstar Nicole Aniston.,natural,natural,natural
TikTok Downloader - Download TikTok Videos without watermark,Video full info by URL,Please fetch the TikTok video from https://vt.tiktok.com/ZSe7G5F2A/ without the watermark.,natural,unnatural,unnatural
webcams.travel,"/webcams/list/exclude={webcamid}[,{webcamid}[,...]]",Exclude webcam ID 98765 and display the regions in Spanish.,unnatural,unnatural,unnatural
GamerPower,Live giveaways by platform,What are the current free games available on Steam?,natural,natural,natural
Tasty,recipes/auto-complete,I'm looking for recipes with salmon. Any ideas?,natural,natural,natural
Cricket Live Data,Fixtures,List the upcoming cricket games.,natural,natural,natural
webcams.travel,"/webcams/list/nearby={lat},{lng},{radius}","Get webcams near the Great Wall of China, within a 70 kilometer radius.",unnatural,natural,natural
GamerPower,Live giveaways by platform,Show me the free VR games available now.,natural,natural,natural
Live Metal Prices,Latest In chosen currency,Provide the current rates for Gold and Platinum in CNY.,natural,unnatural,unnatural
MoviesDatabase,/titles/{id}/ratings,What are the ratings for the title with IMDb ID tt0068646?,unnatural,unnatural,unnatural
inboxes.com,ActivateInbox,I need to activate the inbox with ID sample321@getnada.com.,unnatural,unnatural,unnatural
Taobao Tmall 1688,Item detail,Fetch the product information from 1688 using the ID 123456789012.,unnatural,unnatural,unnatural
Covid-19 by API-Ninjas,/v1/covid19,Give me the Covid-19 case count for the United States.,natural,natural,natural
webcams.travel,"/webcams/list/limit={limit},{offset}",Give me a list of 20 webcams in Spanish.,unnatural,unnatural,natural
Taobao Tmall 1688,get item form url or share text,What information can you find about the product from this link: m.tb.cn/def789?,natural,natural,natural
webcams.travel,"/webcams/list/exclude={webcamid}[,{webcamid}[,...]]",Please exclude webcam ID 11223 and show the properties.,unnatural,unnatural,unnatural
Tasty,tips/list,Please provide 20 reviews for the recipe with ID 91011.,unnatural,unnatural,unnatural
