llm_as_judge,api,api_method,utterance,evaluation
gpt-4.1,unogsNG,Deleted,"Show me the titles removed from Netflix in Australia after July 1, 2022.",natural
gpt-4.1,unogsNG,Deleted,"List all titles deleted from Netflix in India after August 15, 2020.",unnatural
gpt-4.1,unogsNG,Deleted,"What Netflix titles were deleted in Germany after November 1, 2021?",natural
gpt-4.1,unogsNG,Deleted,"Find the first 5 titles removed from Netflix in Japan after April 1, 2022.",unnatural
gpt-4.1,unogsNG,Deleted,"Show me Netflix titles deleted in Brazil after May 1, 2023.",natural
gpt-4.1,unogsNG,Search,Find me movies from 2010 with Spanish audio.,natural
gpt-4.1,unogsNG,Search,Search for series with an IMDb rating between 7 and 9.,natural
gpt-4.1,unogsNG,Search,Show me the top 5 rated movies available in the US.,natural
gpt-4.1,unogsNG,Search,Find all titles with French subtitles released after 2020.,unnatural
gpt-4.1,unogsNG,Search,List series from 2005 to 2015 with German audio and subtitles.,natural
gpt-4.1,unogsNG,Search,Search for action genre movies with a release date after 2018.,natural
gpt-4.1,unogsNG,Search,Find the latest series with English audio and subtitles.,natural
gpt-4.1,unogsNG,Search,Show me all movies with a runtime of over 2 hours.,natural
gpt-4.1,unogsNG,Search,Find comedy movies available in both the UK and Canada.,natural
gpt-4.1,unogsNG,Search,Search for titles with the keyword 'adventure' released in 2021.,unnatural
gpt-4.1,Horse Racing,Race detail info,Can you provide the racecard details for the race with ID 207660?,unnatural
gpt-4.1,Horse Racing,Race detail info,I need the odds comparator for the race with ID 207660.,unnatural
gpt-4.1,Horse Racing,Race detail info,What are the details of the horses participating in the race with ID 207660?,unnatural
gpt-4.1,Horse Racing,Race detail info,Please give me the jockeys' information for the race with ID 207660.,unnatural
gpt-4.1,Horse Racing,Race detail info,I want to know the trainers involved in the race with ID 207660.,unnatural
gpt-4.1,Horse Racing,Race detail info,Can you tell me the form and OR for the race with ID 207660?,unnatural
gpt-4.1,Horse Racing,Race detail info,Who are the owners of the horses in the race with ID 207660?,unnatural
gpt-4.1,Horse Racing,Race detail info,I need information on the sire and dam for the race with ID 207660.,unnatural
gpt-4.1,Horse Racing,Race detail info,What is the age and weight of the horses in the race with ID 207660?,unnatural
gpt-4.1,Horse Racing,Race detail info,Could you provide all the detailed information for the race with ID 207660?,unnatural
gpt-4.1,Horse Racing,Query races,Show me the races happening at Ascot on November 5th.,natural
gpt-4.1,Horse Racing,Query races,Find all novice races scheduled between October 1st and October 15th.,natural
gpt-4.1,Horse Racing,Query races,List the races where horse ID 12345 is running.,unnatural
gpt-4.1,Horse Racing,Query races,What are the upcoming races at Cheltenham?,natural
gpt-4.1,Horse Racing,Query races,Show me handicap chase races with a class between 2 and 5.,natural
gpt-4.1,Horse Racing,Query races,Find races with a distance between 1 mile and 2 miles.,natural
gpt-4.1,Horse Racing,Query races,List all hurdle races happening this weekend.,natural
gpt-4.1,Horse Racing,Query races,Show me the top class races happening in Newmarket.,natural
gpt-4.1,Horse Racing,Query races,Find races scheduled for December 25th.,natural
gpt-4.1,Horse Racing,Query races,What are the races happening in October sorted by date?,natural
gpt-4.1,Horse Racing,Horse Stats,Can you provide the racing history for the horse with ID 230380?,unnatural
gpt-4.1,Horse Racing,Horse Stats,I need to see the past performance of the horse with ID 230380.,unnatural
gpt-4.1,Horse Racing,Horse Stats,Show me the results history for the horse identified by 230380.,unnatural
gpt-4.1,Horse Racing,Horse Stats,What are the previous race results for the horse with ID 230380?,unnatural
gpt-4.1,Horse Racing,Horse Stats,Get me the historical race data for the horse with ID 230380.,unnatural
gpt-4.1,Horse Racing,Horse Stats,I'd like to know the race history of the horse with ID 230380.,unnatural
gpt-4.1,Horse Racing,Horse Stats,Please provide the past race outcomes for the horse with ID 230380.,unnatural
gpt-4.1,Horse Racing,Horse Stats,Can you show me the racing stats for the horse with ID 230380?,unnatural
gpt-4.1,Horse Racing,Horse Stats,I want to check the race results history for the horse with ID 230380.,unnatural
gpt-4.1,Horse Racing,Horse Stats,Could you give me the performance history of the horse with ID 230380?,unnatural
gpt-4.1,Horse Racing,Query horses,Can you find information on the horse named Zanahiyr?,natural
gpt-4.1,Horse Racing,Query horses,Search for details about the horse called Enable.,natural
gpt-4.1,Horse Racing,Query horses,I need stats for a horse named Stradivarius.,natural
gpt-4.1,Horse Racing,Query horses,Look up the horse named Tiger Roll for me.,natural
gpt-4.1,Horse Racing,Query horses,Can you provide information on a horse called Altior?,natural
gpt-4.1,Horse Racing,Query horses,Find the racing stats for the horse named Kauto Star.,natural
gpt-4.1,Horse Racing,Query horses,Get details on the horse named Frankel.,natural
gpt-4.1,Horse Racing,Query horses,I want to know more about a horse called Galileo.,natural
gpt-4.1,Horse Racing,Query horses,Search for the horse named Sea The Stars.,natural
gpt-4.1,Horse Racing,Query horses,Can you find the horse named Red Rum?,natural
gpt-4.1,Horse Racing,Racecards,"Show me the horse races happening on March 15, 2023.",natural
gpt-4.1,Horse Racing,Racecards,"What horse races are scheduled for April 1, 2023?",natural
gpt-4.1,Horse Racing,Racecards,"Can you list the horse races for May 10, 2023?",natural
gpt-4.1,Horse Racing,Racecards,"I need the racecards for June 20, 2023.",natural
gpt-4.1,Horse Racing,Racecards,"Find the horse racing events on July 4, 2023.",natural
gpt-4.1,Horse Racing,Racecards,"What are the horse races on August 15, 2023?",natural
gpt-4.1,Horse Racing,Racecards,"Give me the list of races for September 30, 2023.",natural
gpt-4.1,Horse Racing,Racecards,"Show the horse racing schedule for October 12, 2023.",natural
gpt-4.1,Horse Racing,Racecards,"I want to see the racecards for November 25, 2023.",natural
gpt-4.1,Horse Racing,Racecards,"List the horse races happening on December 5, 2023.",natural
gpt-4.1,Horse Racing,Results,"What were the horse racing results on March 15, 2023?",natural
gpt-4.1,Horse Racing,Results,"Can you show me the results for the races held on July 4, 2022?",natural
gpt-4.1,Horse Racing,Results,"I need the horse racing results from December 25, 2021.",natural
gpt-4.1,Horse Racing,Results,"Please provide the race results for January 1, 2020.",natural
gpt-4.1,Horse Racing,Results,"What were the outcomes of the horse races on November 11, 2022?",natural
gpt-4.1,Horse Racing,Results,"Can you give me the results for the horse races on August 8, 2023?",natural
gpt-4.1,Horse Racing,Results,"I'd like to see the horse racing results from February 14, 2021.",natural
gpt-4.1,Horse Racing,Results,"Show me the results for the races on October 31, 2020.",natural
gpt-4.1,Horse Racing,Results,"What were the horse racing results on April 1, 2022?",natural
gpt-4.1,Horse Racing,Results,"Can you provide the results for the horse races on June 21, 2023?",natural
gpt-4.1,Horse Racing,Jockeys win rate,What are the jockeys' win rates over the past 7 days?,natural
gpt-4.1,Horse Racing,Jockeys win rate,Can you provide the jockeys' statistics for the last 14 days?,natural
gpt-4.1,Horse Racing,Jockeys win rate,Show me the jockeys' win rates for the past 30 days.,natural
gpt-4.1,Horse Racing,Jockeys win rate,I'd like to see the jockeys' performance over the last 10 days.,natural
gpt-4.1,Horse Racing,Jockeys win rate,Get the jockeys' win rates for the previous 5 days.,natural
gpt-4.1,Horse Racing,Jockeys win rate,What are the jockeys' stats for the last 21 days?,natural
gpt-4.1,Horse Racing,Jockeys win rate,Provide the jockeys' win rates for the past 60 days.,natural
gpt-4.1,Horse Racing,Jockeys win rate,Can I have the jockeys' statistics for the last 3 days?,natural
gpt-4.1,Horse Racing,Jockeys win rate,Show the jockeys' win rates for the last 90 days.,natural
gpt-4.1,Horse Racing,Jockeys win rate,I'd like to know the jockeys' performance over the past 45 days.,natural
gpt-4.1,Horse Racing,Trainers win rate,What are the trainer stats for the last 7 days?,natural
gpt-4.1,Horse Racing,Trainers win rate,Can you provide the trainer win rates for the past 14 days?,natural
gpt-4.1,Horse Racing,Trainers win rate,Show me the trainer statistics for the last 30 days.,natural
gpt-4.1,Horse Racing,Trainers win rate,I'd like to see the trainer win rates over the past 10 days.,natural
gpt-4.1,Horse Racing,Trainers win rate,Get me the trainer stats for the previous 5 days.,natural
gpt-4.1,Horse Racing,Trainers win rate,What are the trainer win rates for the last 21 days?,natural
gpt-4.1,Horse Racing,Trainers win rate,Provide the trainer statistics for the past 60 days.,unnatural
gpt-4.1,Horse Racing,Trainers win rate,Can you show the trainer win rates for the last 3 days?,natural
gpt-4.1,Horse Racing,Trainers win rate,I'd like to know the trainer stats for the previous 15 days.,natural
gpt-4.1,Horse Racing,Trainers win rate,Get the trainer win rates for the past 90 days.,natural
gpt-4.1,Tasty,recipes/list,Show me 10 popular recipes starting from the first one.,unnatural
gpt-4.1,Tasty,recipes/list,List 5 recipes for chocolate cake starting from the second one.,unnatural
gpt-4.1,Tasty,recipes/list,Give me 15 recipes sorted by the latest approval date.,unnatural
gpt-4.1,Tasty,recipes/list,Find 8 vegetarian recipes starting from the third one.,unnatural
gpt-4.1,Tasty,recipes/list,Show 12 recipes for pasta starting from the fifth one.,unnatural
gpt-4.1,Tasty,recipes/list,List 20 recipes that can be made in under 30 minutes.,natural
gpt-4.1,Tasty,recipes/list,Give me 6 recipes for vegan desserts starting from the first one.,unnatural
gpt-4.1,Tasty,recipes/list,Find 10 recipes sorted by the oldest approval date.,unnatural
gpt-4.1,Tasty,recipes/list,Show me 7 recipes for chicken curry starting from the fourth one.,unnatural
gpt-4.1,Tasty,recipes/list,List 9 gluten-free recipes starting from the second one.,unnatural
gpt-4.1,Tasty,tips/list,Can you show me the reviews for the recipe with ID 3562?,unnatural
gpt-4.1,Tasty,tips/list,I need the first 10 tips for the recipe with ID 1234.,unnatural
gpt-4.1,Tasty,tips/list,"What are the reviews for the recipe with ID 5678, starting from the 5th review?",unnatural
gpt-4.1,Tasty,tips/list,Please provide 20 reviews for the recipe with ID 91011.,unnatural
gpt-4.1,Tasty,tips/list,"Get me the tips for the recipe with ID 1213, but skip the first 10.",unnatural
gpt-4.1,Tasty,tips/list,I want to see 5 reviews for the recipe with ID 1415.,unnatural
gpt-4.1,Tasty,tips/list,"Show me the reviews for the recipe with ID 1617, starting from the 3rd one.",unnatural
gpt-4.1,Tasty,tips/list,Can you list 15 tips for the recipe with ID 1819?,unnatural
gpt-4.1,Tasty,tips/list,"I need the reviews for the recipe with ID 2021, but ignore the first 7.",unnatural
gpt-4.1,Tasty,tips/list,Please show me 25 reviews for the recipe with ID 2223.,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),Can you provide more details about the recipe with ID 1234?,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),I need the full recipe information for the dish with ID 5678.,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),What are the ingredients and preparation steps for the recipe with ID 91011?,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),Please give me the nutritional information for the recipe with ID 1213.,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),I'd like to know the cooking instructions for the recipe with ID 1415.,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),"Can you tell me more about the recipe with ID 1617, including its ingredients?",unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),What is the preparation time for the recipe with ID 1819?,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),I want to see the full details of the recipe with ID 2021.,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),Could you provide the step-by-step cooking guide for the recipe with ID 2223?,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),What are the health benefits of the recipe with ID 2425?,unnatural
gpt-4.1,Tasty,feeds/list,"Show me the latest vegetarian recipes in the GMT-0500 timezone, starting from the 5th item, and list 10 items.",unnatural
gpt-4.1,Tasty,feeds/list,"List the newest food feeds in the GMT+0100 timezone, starting from the 0th item, and return 7 items.",unnatural
gpt-4.1,Tasty,feeds/list,"Can you provide the latest vegetarian food updates in the GMT+0800 timezone, starting from the 10th item, with 5 items per response?",unnatural
gpt-4.1,Tasty,feeds/list,"Fetch the latest recipes in the GMT-0300 timezone, starting from the 3rd item, and show 8 items.",unnatural
gpt-4.1,Tasty,feeds/list,"I want to see the latest vegetarian food feeds in the GMT+0530 timezone, starting from the 2nd item, with 6 items listed.",unnatural
gpt-4.1,Tasty,feeds/list,"Provide the latest food updates in the GMT+0000 timezone, starting from the 1st item, and return 4 items.",unnatural
gpt-4.1,Tasty,feeds/list,"Get the latest vegetarian recipes in the GMT+1000 timezone, starting from the 7th item, and list 9 items.",unnatural
gpt-4.1,Tasty,feeds/list,"Show the newest food feeds in the GMT-0700 timezone, starting from the 4th item, and return 5 items.",unnatural
gpt-4.1,Tasty,feeds/list,"List the latest vegetarian food updates in the GMT+0200 timezone, starting from the 6th item, with 3 items per response.",unnatural
gpt-4.1,Tasty,feeds/list,"Can you show me the latest recipes in the GMT-0600 timezone, starting from the 8th item, and list 7 items?",unnatural
gpt-4.1,Tasty,feeds/list,Show me the latest 10 vegetarian recipes in the GMT-0500 timezone.,unnatural
gpt-4.1,Tasty,feeds/list,"List 5 new recipes from the Tasty feed, starting from the 5th item, in the GMT+0100 timezone.",unnatural
gpt-4.1,Tasty,feeds/list,Can you provide 8 vegetarian dishes from the latest feed in the GMT+0200 timezone?,unnatural
gpt-4.1,Tasty,feeds/list,Fetch 15 recipes starting from the 10th item in the GMT+0000 timezone.,unnatural
gpt-4.1,Tasty,feeds/list,"I want to see 7 vegetarian recipes in the GMT-0800 timezone, starting from the 3rd item.",unnatural
gpt-4.1,Tasty,feeds/list,Give me 12 new recipes from the Tasty feed in the GMT+0530 timezone.,unnatural
gpt-4.1,Tasty,feeds/list,List 6 vegetarian recipes starting from the 2nd item in the GMT+0300 timezone.,unnatural
gpt-4.1,Tasty,feeds/list,"Show me 9 recipes from the latest feed in the GMT-0600 timezone, starting from the 4th item.",unnatural
gpt-4.1,Tasty,feeds/list,Can you list 10 vegetarian dishes in the GMT+0400 timezone?,unnatural
gpt-4.1,Tasty,feeds/list,Fetch 5 new recipes starting from the 1st item in the GMT+0700 timezone.,unnatural
gpt-4.1,Tasty,tags/list,What tags can I use to filter recipes on Tasty?,natural
gpt-4.1,Tasty,tags/list,Show me the list of supported tags for filtering recipes.,unnatural
gpt-4.1,Tasty,tags/list,Can you provide the available tags for recipe filtering on Tasty?,unnatural
gpt-4.1,Tasty,tags/list,What are the filtering tags available in the Tasty API?,unnatural
gpt-4.1,Tasty,tags/list,List all the tags I can use to filter recipes on the Tasty platform.,unnatural
gpt-4.1,Tasty,tags/list,I need a list of all supported tags for filtering recipes.,unnatural
gpt-4.1,Tasty,tags/list,What tags does Tasty support for recipe filtering?,unnatural
gpt-4.1,Tasty,tags/list,Could you list the tags available for filtering recipes on Tasty?,unnatural
gpt-4.1,Tasty,tags/list,Provide me with the tags that can be used to filter recipes on Tasty.,unnatural
gpt-4.1,Tasty,tags/list,What are the available tags for filtering recipes in the Tasty API?,unnatural
gpt-4.1,Tasty,tags/list,What tags can I use to filter recipes on Tasty?,natural
gpt-4.1,Tasty,tags/list,Show me the list of supported tags for filtering recipes.,unnatural
gpt-4.1,Tasty,tags/list,Can you provide the available tags for recipe filtering on Tasty?,unnatural
gpt-4.1,Tasty,tags/list,What are the filtering tags available in the Tasty API?,unnatural
gpt-4.1,Tasty,tags/list,List all the tags I can use to filter recipes on the Tasty platform.,unnatural
gpt-4.1,Tasty,tags/list,I need a list of all supported tags for filtering recipes.,unnatural
gpt-4.1,Tasty,tags/list,What tags does Tasty support for recipe filtering?,unnatural
gpt-4.1,Tasty,tags/list,Could you show me the tags available for filtering recipes on Tasty?,natural
gpt-4.1,Tasty,tags/list,Provide me with the list of tags for filtering recipes in the Tasty API.,unnatural
gpt-4.1,Tasty,tags/list,What are the available tags for filtering recipes on Tasty?,unnatural
gpt-4.1,Tasty,recipes/list-similarities,Can you find recipes similar to the one with ID 8138?,unnatural
gpt-4.1,Tasty,recipes/list-similarities,Show me recipes that are like the recipe with ID 10234.,unnatural
gpt-4.1,Tasty,recipes/list-similarities,What are some recipes similar to the recipe with ID 5678?,unnatural
gpt-4.1,Tasty,recipes/list-similarities,List recipes that are similar to the one with ID 3456.,unnatural
gpt-4.1,Tasty,recipes/list-similarities,Find recipes that resemble the recipe with ID 7890.,unnatural
gpt-4.1,Tasty,recipes/list-similarities,Can you list similar recipes to the one with ID 2345?,unnatural
gpt-4.1,Tasty,recipes/list-similarities,I need recipes similar to the one with ID 6789.,unnatural
gpt-4.1,Tasty,recipes/list-similarities,What recipes are similar to the recipe with ID 9012?,unnatural
gpt-4.1,Tasty,recipes/list-similarities,Show me similar recipes to the one with ID 1122.,unnatural
gpt-4.1,Tasty,recipes/list-similarities,Find recipes that are like the recipe with ID 3344.,unnatural
gpt-4.1,Tasty,recipes/auto-complete,What are some recipe suggestions for chocolate cake?,natural
gpt-4.1,Tasty,recipes/auto-complete,Can you suggest some dishes that use avocados?,natural
gpt-4.1,Tasty,recipes/auto-complete,I'm looking for recipes with salmon. Any ideas?,natural
gpt-4.1,Tasty,recipes/auto-complete,What can I make with quinoa?,natural
gpt-4.1,Tasty,recipes/auto-complete,Give me some ideas for pasta dishes.,natural
gpt-4.1,Tasty,recipes/auto-complete,What are some recipes that include tofu?,natural
gpt-4.1,Tasty,recipes/auto-complete,Can you suggest some meals with shrimp?,natural
gpt-4.1,Tasty,recipes/auto-complete,I'm interested in recipes for apple pie. What do you have?,natural
gpt-4.1,Tasty,recipes/auto-complete,What can I cook with lentils?,natural
gpt-4.1,Tasty,recipes/auto-complete,Do you have any suggestions for dishes with mushrooms?,natural
gpt-4.1,Tasty,recipes/get-more-info,Can you provide more details about the recipe with ID 8138?,unnatural
gpt-4.1,Tasty,recipes/get-more-info,I need the full recipe information for the dish with ID 10234.,unnatural
gpt-4.1,Tasty,recipes/get-more-info,What are the nutritional details for the recipe with ID 5678?,unnatural
gpt-4.1,Tasty,recipes/get-more-info,Please give me the preparation steps for the recipe with ID 3456.,unnatural
gpt-4.1,Tasty,recipes/get-more-info,Can you tell me the ingredients for the recipe with ID 7890?,unnatural
gpt-4.1,Tasty,recipes/get-more-info,"I want to know more about the recipe with ID 2345, including its nutrition info.",unnatural
gpt-4.1,Tasty,recipes/get-more-info,Fetch the detailed recipe information for ID 6789.,unnatural
gpt-4.1,Tasty,recipes/get-more-info,What is the preparation method for the recipe with ID 4567?,unnatural
gpt-4.1,Tasty,recipes/get-more-info,Can you provide the full list of ingredients for the recipe with ID 8901?,unnatural
gpt-4.1,Tasty,recipes/get-more-info,"I need more information on the recipe with ID 1234, especially the nutrition facts.",unnatural
gpt-4.1,Workout Planner,Get Customized Plan,Can you create a 45-minute workout plan for muscle gain focusing on legs using a barbell for an advanced level?,natural
gpt-4.1,Workout Planner,Get Customized Plan,I need a beginner workout plan for weight loss targeting the chest with no equipment for 20 minutes.,natural
gpt-4.1,Workout Planner,Get Customized Plan,Generate a 60-minute intermediate workout plan for cardiovascular endurance focusing on back muscles using a rowing machine.,unnatural
gpt-4.1,Workout Planner,Get Customized Plan,I want a 30-minute workout plan for flexibility targeting shoulders with resistance bands for a beginner.,natural
gpt-4.1,Workout Planner,Get Customized Plan,Create a 25-minute advanced workout plan for general fitness focusing on abs using a stability ball.,natural
gpt-4.1,Workout Planner,Get Customized Plan,Can you provide a 40-minute intermediate workout plan for strength training targeting the arms with dumbbells?,natural
gpt-4.1,Workout Planner,Get Customized Plan,I need a 50-minute workout plan for muscle gain focusing on the back using a pull-up bar for an advanced level.,natural
