index,API name,API method name,utterance,parameters,REQUIRED PARAMETERS,VALUES,FORMAT,ID,TECHNICAL,INTER-DEPENDENCY,SEMANTIC RELEVANT
2,car code,/obd2/{code},Please provide details on the OBD2 code P0113.,{'code': 'P0113'},,,,,,,
2,car code,/obd2/{code},What does the error code P0500 mean in my vehicle?,{'code': 'P0500'},,,,,,,
2,car code,/obd2/{code},Help me understand the trouble code P0606.,{'code': 'P0606'},,,,,,,
2,car code,/obd2/{code},Give me the explanation for the OBD2 code P0128.,{'code': 'P0128'},,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,How many COVID-19 cases were reported in Brazil on 2023-05-10?,"{'country': 'Brazil', 'date': '2023-05-10', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,Show me the COVID-19 death count in India for the date 2022-12-01.,"{'country': 'India', 'date': '2022-12-01', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,What are the COVID-19 case numbers in the United States on 2023-01-15?,"{'country': 'United States', 'date': '2023-01-15', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"Get me the COVID-19 death statistics for California, United States on 2023-03-20.","{'country': 'United States', 'region': 'California', 'date': '2023-03-20', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"How many COVID-19 cases were reported in Los Angeles county, California on 2023-04-05?","{'country': 'United States', 'region': 'California', 'county': 'Los Angeles', 'date': '2023-04-05', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,Provide the COVID-19 death count for Germany on 2023-02-28.,"{'country': 'Germany', 'date': '2023-02-28', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,What were the COVID-19 case numbers in France on 2023-06-01?,"{'country': 'France', 'date': '2023-06-01', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"Show COVID-19 deaths in Texas, United States on 2023-05-15.","{'country': 'United States', 'region': 'Texas', 'date': '2023-05-15', 'type': 'deaths'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,How many COVID-19 cases were reported in Japan on 2023-07-10?,"{'country': 'Japan', 'date': '2023-07-10', 'type': 'cases'}",,,,,,,
3,Covid-19 by API-Ninjas,/v1/covid19,"Get the COVID-19 death data for New York county, New York state, United States on 2023-01-25.","{'country': 'United States', 'region': 'New York', 'county': 'New York', 'date': '2023-01-25', 'type': 'deaths'}",,,,,,,
4,Cricket Live Data,Results By Date,Show me the cricket match results for 2023-04-15.,{'date': '2023-04-15'},,,,,,,
4,Cricket Live Data,Results By Date,What were the cricket scores on 2022-12-01?,{'date': '2022-12-01'},,,,,,,
4,Cricket Live Data,Results By Date,Give me the cricket fixtures results for 2024-01-10.,{'date': '2024-01-10'},,,,,,,
4,Cricket Live Data,Results By Date,I want to see the cricket match outcomes from 2023-07-20.,{'date': '2023-07-20'},,,,,,,
4,Cricket Live Data,Results By Date,List all cricket results for the date 2023-11-05.,{'date': '2023-11-05'},,,,,,,
4,Cricket Live Data,Results By Date,Can you provide the cricket scores for 2023-03-30?,{'date': '2023-03-30'},,,,,,,
4,Cricket Live Data,Results By Date,Fetch the cricket match results for 2024-05-18.,{'date': '2024-05-18'},,,,,,,
4,Cricket Live Data,Results By Date,What were the cricket results on 2023-09-12?,{'date': '2023-09-12'},,,,,,,
4,Cricket Live Data,Results By Date,Show me the cricket scores from matches played on 2023-06-25.,{'date': '2023-06-25'},,,,,,,
4,Cricket Live Data,Results By Date,Provide the cricket match results for the date 2023-08-08.,{'date': '2023-08-08'},,,,,,,
5,Dezgo,/text2image,Create an image of a futuristic city skyline at sunset with flying cars and neon lights.,{'prompt': 'futuristic city skyline at sunset with flying cars and neon lights'},,,,,,,
5,Dezgo,/text2image,Generate a detailed portrait of a medieval knight in shining armor standing in a misty forest.,{'prompt': 'medieval knight in shining armor standing in a misty forest'},,,,,,,
5,Dezgo,/text2image,"Make a fantasy landscape with a giant ancient tree, glowing mushrooms, and a small river flowing through.","{'prompt': 'fantasy landscape with a giant ancient tree, glowing mushrooms, and a small river flowing through'}",,,,,,,
5,Dezgo,/text2image,Produce an image of a cute robot playing with a puppy in a sunny park.,{'prompt': 'cute robot playing with a puppy in a sunny park'},,,,,,,
5,Dezgo,/text2image,Create a surreal artwork of a whale swimming through a starry night sky above mountains.,{'prompt': 'surreal artwork of a whale swimming through a starry night sky above mountains'},,,,,,,
5,Dezgo,/text2image,"Generate a cyberpunk street scene with rain, neon signs, and people wearing futuristic clothing.","{'prompt': 'cyberpunk street scene with rain, neon signs, and people wearing futuristic clothing'}",,,,,,,
5,Dezgo,/text2image,Make a vibrant underwater scene with colorful coral reefs and exotic fish swimming around.,{'prompt': 'vibrant underwater scene with colorful coral reefs and exotic fish swimming around'},,,,,,,
5,Dezgo,/text2image,Produce an image of a majestic dragon flying over snowy mountains during sunrise.,{'prompt': 'majestic dragon flying over snowy mountains during sunrise'},,,,,,,
5,Dezgo,/text2image,Create a steampunk-inspired airship flying above a Victorian cityscape with smoke and gears.,{'prompt': 'steampunk-inspired airship flying above a Victorian cityscape with smoke and gears'},,,,,,,
5,Dezgo,/text2image,"Generate a peaceful Japanese garden with cherry blossoms, a small pond, and a wooden bridge.","{'prompt': 'peaceful Japanese garden with cherry blossoms, a small pond, and a wooden bridge'}",,,,,,,
6,EveryEarthquake,Earthquakes,Show me the 100 most recent earthquakes worldwide.,{},,,,,,,
6,EveryEarthquake,Earthquakes,Find earthquakes with a magnitude of at least 5.,{'magnitude': '5'},,,,,,,
6,EveryEarthquake,Earthquakes,Get earthquakes near latitude 34.05 and longitude -118.25 within a 50 mile radius.,"{'latitude': '34.05', 'longitude': '-118.25', 'radius': '50', 'units': 'miles'}",,,,,,,
6,EveryEarthquake,Earthquakes,List earthquakes with intensity of 4 or greater near latitude 40.71 and longitude -74.01 within 100 kilometers.,"{'intensity': '4', 'latitude': '40.71', 'longitude': '-74.01', 'radius': '100', 'units': 'kilometers'}",,,,,,,
6,EveryEarthquake,Earthquakes,Show me the 50 most recent quarry blasts worldwide.,"{'type': 'quarry blasts', 'count': '50'}",,,,,,,
6,EveryEarthquake,Earthquakes,Get the 200 most recent earthquakes with magnitude 4 or greater.,"{'magnitude': '4', 'count': '200'}",,,,,,,
6,EveryEarthquake,Earthquakes,Find explosions near latitude 37.77 and longitude -122.42 within a 30 kilometer radius.,"{'type': 'explosions', 'latitude': '37.77', 'longitude': '-122.42', 'radius': '30', 'units': 'kilometers'}",,,,,,,
6,EveryEarthquake,Earthquakes,List earthquakes starting from the 101st most recent event.,{'start': '101'},,,,,,,
6,EveryEarthquake,Earthquakes,Show me earthquakes near latitude 51.51 and longitude -0.13 within 20 miles with magnitude at least 3.,"{'latitude': '51.51', 'longitude': '-0.13', 'radius': '20', 'units': 'miles', 'magnitude': '3'}",,,,,,,
6,EveryEarthquake,Earthquakes,Get the 10 most recent earthquakes with intensity 2 or greater.,"{'intensity': '2', 'count': '10'}",,,,,,,
7,Flightera Flight Data,airlineStatistics,Can you provide detailed statistics for the airline with ICAO code AAL?,{'icao': 'AAL'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Show me the current day's performance data for the airline identified by the IATA code DAL.,{'iata': 'DAL'},,,,,,,
7,Flightera Flight Data,airlineStatistics,I want to see the airline statistics for the airline with the ident code UA123.,{'ident': 'UA123'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Get me the on-time performance and flight status for the airline with ICAO code AFRR.,{'icao': 'AFRR'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Please provide the detailed airline statistics for the airline with IATA code KLM.,{'iata': 'KLM'},,,,,,,
7,Flightera Flight Data,airlineStatistics,What are the current statistics for the airline identified by the ident code BA456?,{'ident': 'BA456'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Retrieve the flight status and on-time performance for the airline with ICAO code JBUA.,{'icao': 'JBUA'},,,,,,,
7,Flightera Flight Data,airlineStatistics,I need detailed statistics for the airline with IATA code ANA.,{'iata': 'ANA'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Show me the airline statistics for the airline identified by the ident code LH789.,{'ident': 'LH789'},,,,,,,
7,Flightera Flight Data,airlineStatistics,Can you get the current day's airline statistics for the airline with ICAO code QFAU?,{'icao': 'QFAU'},,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Show me the departure delay statistics for the airport with ident JFK on 2024-05-01.,"{'isDeparture': True, 'dt': '2024-05-01', 'ident': 'JFK'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,I want to see arrival delay data for the airport identified as LAX on 2024-04-15.,"{'isDeparture': False, 'dt': '2024-04-15', 'ident': 'LAX'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Get me the departure delay statistics for the airport with ident CDG on 2024-06-10.,"{'isDeparture': True, 'dt': '2024-06-10', 'ident': 'CDG'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Provide arrival delay statistics for the airport identified as SFO on 2024-03-20.,"{'isDeparture': False, 'dt': '2024-03-20', 'ident': 'SFO'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,I need the departure delay statistics for the airport with ident ORD on 2024-07-04.,"{'isDeparture': True, 'dt': '2024-07-04', 'ident': 'ORD'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Show arrival delay statistics for the airport identified as ATL on 2024-05-15.,"{'isDeparture': False, 'dt': '2024-05-15', 'ident': 'ATL'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Get departure delay data for the airport with ident DXB on 2024-08-01.,"{'isDeparture': True, 'dt': '2024-08-01', 'ident': 'DXB'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Please provide arrival delay statistics for the airport identified as HND on 2024-09-10.,"{'isDeparture': False, 'dt': '2024-09-10', 'ident': 'HND'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,I want to see departure delay statistics for the airport with ident LHR on 2024-10-05.,"{'isDeparture': True, 'dt': '2024-10-05', 'ident': 'LHR'}",,,,,,,
8,Flightera Flight Data,airportDelayDailyStatistics,Show me arrival delay statistics for the airport identified as MIA on 2024-11-20.,"{'isDeparture': False, 'dt': '2024-11-20', 'ident': 'MIA'}",,,,,,,
9,Foreca Weather,Daily,What's the daily weather forecast for New York City?,{'location': 'New York City'},,,,,,,
9,Foreca Weather,Daily,Give me the daily forecast for Denver with altitude set to 1600 meters.,"{'location': 'Denver', 'alt': 1600}",,,,,,,
9,Foreca Weather,Daily,Show the daily weather forecast for Paris with temperature in Fahrenheit.,"{'location': 'Paris', 'tempunit': 'F'}",,,,,,,
9,Foreca Weather,Daily,I want the daily forecast for Tokyo with wind speed in kilometers per hour.,"{'location': 'Tokyo', 'windunit': 'KMH'}",,,,,,,
9,Foreca Weather,Daily,Provide the daily weather forecast for London using the full dataset and 10 time periods.,"{'location': 'London', 'dataset': 'full', 'periods': 10}",,,,,,,
9,Foreca Weather,Daily,Get the daily forecast for Sydney with temperature in Celsius and wind speed in meters per second.,"{'location': 'Sydney', 'tempunit': 'C', 'windunit': 'MS'}",,,,,,,
9,Foreca Weather,Daily,Show me the daily weather for Mexico City with altitude 2200 meters and 12 periods.,"{'location': 'Mexico City', 'alt': 2200, 'periods': 12}",,,,,,,
9,Foreca Weather,Daily,What's the daily forecast for Cape Town with temperature in Celsius and wind speed in miles per hour?,"{'location': 'Cape Town', 'tempunit': 'C', 'windunit': 'MPH'}",,,,,,,
9,Foreca Weather,Daily,Give me the daily weather forecast for Moscow with dataset set to basic and 8 periods.,"{'location': 'Moscow', 'dataset': 'basic', 'periods': 8}",,,,,,,
9,Foreca Weather,Daily,Provide the daily forecast for Rio de Janeiro with altitude 5 meters and temperature in Fahrenheit.,"{'location': 'Rio de Janeiro', 'alt': 5, 'tempunit': 'F'}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,"Send a WhatsApp message to 919876543210 with the text 'Hello, your order has been shipped!' using id 45.","{'your_number': 919876543210, 'your_message': 'Hello, your order has been shipped!', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Please send 'Your OTP code is 123456' to the number 918765432109 with id 45.,"{'your_number': 918765432109, 'your_message': 'Your OTP code is 123456', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send a bulk WhatsApp message saying 'Don't miss our sale starting tomorrow!' to 919123456789 with id 45.,"{'your_number': 919123456789, 'your_message': ""Don't miss our sale starting tomorrow!"", 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send the message 'Your appointment is confirmed for next Monday' to 917654321098 using id 45.,"{'your_number': 917654321098, 'your_message': 'Your appointment is confirmed for next Monday', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send WhatsApp notification 'Your package will arrive today' to 919998877665 with id 45.,"{'your_number': 919998877665, 'your_message': 'Your package will arrive today', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send a WhatsApp message to 919112233445 with the content 'Welcome to our service!' using id 45.,"{'your_number': 919112233445, 'your_message': 'Welcome to our service!', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send 'Your subscription has been renewed successfully' to 919887766554 with id 45.,"{'your_number': 919887766554, 'your_message': 'Your subscription has been renewed successfully', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send a WhatsApp message 'Please verify your email address' to 919776655443 with id 45.,"{'your_number': 919776655443, 'your_message': 'Please verify your email address', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send the message 'Thank you for your feedback!' to 919665544332 using id 45.,"{'your_number': 919665544332, 'your_message': 'Thank you for your feedback!', 'id': 45}",,,,,,,
10,GetItSMS WhatsApp APIs,GetIT SMS WHATSAPP API,Send WhatsApp message 'Your order #1234 has been delivered' to 919554433221 with id 45.,"{'your_number': 919554433221, 'your_message': 'Your order #1234 has been delivered', 'id': 45}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),Show me available rooms for 2 adults at hotel 1105156 from September 10 to September 15 in the AE domain with English UK locale.,"{'adults_number': 2, 'checkin_date': '2023-09-10', 'checkout_date': '2023-09-15', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 1105156}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),I want to book a room for 1 adult at hotel 987654 from October 5 to October 10 on the US domain with American English locale.,"{'adults_number': 1, 'checkin_date': '2023-10-05', 'checkout_date': '2023-10-10', 'domain': 'US', 'locale': 'en_US', 'hotel_id': 987654}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),Find rooms for 3 adults at hotel 1234567 from December 1 to December 7 in the UK domain with British English locale.,"{'adults_number': 3, 'checkin_date': '2023-12-01', 'checkout_date': '2023-12-07', 'domain': 'UK', 'locale': 'en_GB', 'hotel_id': 1234567}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),"Check available rooms for 2 adults at hotel 555555 from November 20 to November 25 in the AE domain with English UK locale, including children ages 5 and 8.","{'adults_number': 2, 'checkin_date': '2023-11-20', 'checkout_date': '2023-11-25', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 555555, 'children_ages': '5,8'}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),I need a room for 1 adult at hotel 222222 from January 15 to January 20 in the CA domain with Canadian English locale.,"{'adults_number': 1, 'checkin_date': '2024-01-15', 'checkout_date': '2024-01-20', 'domain': 'CA', 'locale': 'en_CA', 'hotel_id': 222222}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),Show me rooms for 4 adults at hotel 333333 from July 10 to July 15 in the AE domain with English UK locale.,"{'adults_number': 4, 'checkin_date': '2023-07-10', 'checkout_date': '2023-07-15', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 333333}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),Find available rooms for 2 adults at hotel 444444 from March 5 to March 10 in the AU domain with Australian English locale.,"{'adults_number': 2, 'checkin_date': '2024-03-05', 'checkout_date': '2024-03-10', 'domain': 'AU', 'locale': 'en_AU', 'hotel_id': 444444}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),"I want to see rooms for 1 adult at hotel 777777 from August 1 to August 5 in the AE domain with English UK locale, with a child aged 3.","{'adults_number': 1, 'checkin_date': '2023-08-01', 'checkout_date': '2023-08-05', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 777777, 'children_ages': '3'}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),Check rooms for 2 adults at hotel 888888 from May 12 to May 18 in the DE domain with German locale.,"{'adults_number': 2, 'checkin_date': '2023-05-12', 'checkout_date': '2023-05-18', 'domain': 'DE', 'locale': 'de_DE', 'hotel_id': 888888}",,,,,,,
11,Hotels com Provider,Hotel Rooms (offers),Show me available rooms for 3 adults at hotel 999999 from October 20 to October 25 in the AE domain with English UK locale.,"{'adults_number': 3, 'checkin_date': '2023-10-20', 'checkout_date': '2023-10-25', 'domain': 'AE', 'locale': 'en_GB', 'hotel_id': 999999}",,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,Show me kanji characters for grade 1 students.,{'grade': '1'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,I want to learn kanji for grade 3 level.,{'grade': '3'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,Can you provide kanji for grade 5 learners?,{'grade': '5'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,Give me the list of kanji for grade 2.,{'grade': '2'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,Find kanji characters suitable for grade 4 students.,{'grade': '4'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,I need kanji for grade 6 level study.,{'grade': '6'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,Please show kanji for grade 7 learners.,{'grade': '7'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,List kanji characters for grade 8 students.,{'grade': '8'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,Provide kanji for grade 9 level.,{'grade': '9'},,,,,,,
12,Learn to read and write Japanese kanji,Kanji grade level,I want to see kanji for grade 10 learners.,{'grade': '10'},,,,,,,
13,Movie Database Alternative,By Search,Find information about the movie Avengers Endgame.,{'s': 'Avengers Endgame'},,,,,,,
13,Movie Database Alternative,By Search,Search for the movie Inception released in 2010.,"{'s': 'Inception', 'y': '2010'}",,,,,,,
13,Movie Database Alternative,By Search,Show me the first page of search results for the movie title Batman.,"{'s': 'Batman', 'page': '1'}",,,,,,,
13,Movie Database Alternative,By Search,Look up the movie The Matrix and return results in XML format.,"{'s': 'The Matrix', 'r': 'xml'}",,,,,,,
13,Movie Database Alternative,By Search,Search for the movie Titanic and specify the type as movie.,"{'s': 'Titanic', 'type': 'movie'}",,,,,,,
13,Movie Database Alternative,By Search,Find details about the movie Joker from 2019.,"{'s': 'Joker', 'y': '2019'}",,,,,,,
13,Movie Database Alternative,By Search,Get the second page of search results for the movie title Spider-Man.,"{'s': 'Spider-Man', 'page': '2'}",,,,,,,
13,Movie Database Alternative,By Search,Search for the TV series Breaking Bad.,"{'s': 'Breaking Bad', 'type': 'series'}",,,,,,,
13,Movie Database Alternative,By Search,Look up the movie Gladiator and get the response in JSON format.,"{'s': 'Gladiator', 'r': 'json'}",,,,,,,
13,Movie Database Alternative,By Search,Find the movie Interstellar released in 2014 and show the first page of results.,"{'s': 'Interstellar', 'y': '2014', 'page': '1'}",,,,,,,
14,Netflix_v2,Search,Search for the TV show Stranger Things on Netflix.,{'query': 'Stranger Things'},,,,,,,
14,Netflix_v2,Search,Find movies related to The Crown with a limit of 10 titles.,"{'query': 'The Crown', 'limit_titles': 10}",,,,,,,
14,Netflix_v2,Search,Show me documentaries about climate change in Spanish.,"{'query': 'climate change', 'lang': 'es'}",,,,,,,
14,Netflix_v2,Search,Search for comedy series with a suggestion limit of 5.,"{'query': 'comedy', 'limit_suggestions': 5}",,,,,,,
14,Netflix_v2,Search,Find thriller movies starting from the 10th result.,"{'query': 'thriller', 'offset': 10}",,,,,,,
14,Netflix_v2,Search,Look for romantic movies in French with a title limit of 15.,"{'query': 'romantic', 'lang': 'fr', 'limit_titles': 15}",,,,,,,
14,Netflix_v2,Search,Search for sci-fi shows with 30 titles and 10 suggestions.,"{'query': 'sci-fi', 'limit_titles': 30, 'limit_suggestions': 10}",,,,,,,
14,Netflix_v2,Search,Find horror movies in German language.,"{'query': 'horror', 'lang': 'de'}",,,,,,,
14,Netflix_v2,Search,Search for animated movies with an offset of 20.,"{'query': 'animated', 'offset': 20}",,,,,,,
14,Netflix_v2,Search,Look for crime documentaries with 25 titles and 15 suggestions in English.,"{'query': 'crime documentaries', 'limit_titles': 25, 'limit_suggestions': 15, 'lang': 'en'}",,,,,,,
15,NOWPayments,3.Getestimatedprice,Calculate the estimated price in bitcoin for 1500 US dollars using my API key.,"{'x-api-key': '<your_api_key>', 'currency_to': 'btc', 'currency_from': 'usd', 'amount': 1500}",,,,,,,
15,NOWPayments,3.Getestimatedprice,What is the approximate price in ethereum for 2000 euros with my API key?,"{'x-api-key': '<your_api_key>', 'currency_to': 'eth', 'currency_from': 'eur', 'amount': 2000}",,,,,,,
15,NOWPayments,3.Getestimatedprice,"Using my API key, convert 500 New Zealand dollars to litecoin and give me the estimated price.","{'x-api-key': '<your_api_key>', 'currency_to': 'ltc', 'currency_from': 'nzd', 'amount': 500}",,,,,,,
15,NOWPayments,3.Getestimatedprice,"With my API key, find the estimated price in ripple for 1000 British pounds.","{'x-api-key': '<your_api_key>', 'currency_to': 'xrp', 'currency_from': 'gbp', 'amount': 1000}",,,,,,,
15,NOWPayments,3.Getestimatedprice,Get the estimated price in bitcoin cash for 750 Brazilian reals using my API key.,"{'x-api-key': '<your_api_key>', 'currency_to': 'bch', 'currency_from': 'brl', 'amount': 750}",,,,,,,
15,NOWPayments,3.Getestimatedprice,"Using my API key, calculate the approximate price in dogecoin for 300 US dollars.","{'x-api-key': '<your_api_key>', 'currency_to': 'doge', 'currency_from': 'usd', 'amount': 300}",,,,,,,
15,NOWPayments,3.Getestimatedprice,Please estimate the price in stellar for 1200 euros with my API key.,"{'x-api-key': '<your_api_key>', 'currency_to': 'xlm', 'currency_from': 'eur', 'amount': 1200}",,,,,,,
15,NOWPayments,3.Getestimatedprice,"Using my API key, convert 2500 New Zealand dollars to dash and provide the estimated price.","{'x-api-key': '<your_api_key>', 'currency_to': 'dash', 'currency_from': 'nzd', 'amount': 2500}",,,,,,,
15,NOWPayments,3.Getestimatedprice,"With my API key, what is the estimated price in cardano for 1800 British pounds?","{'x-api-key': '<your_api_key>', 'currency_to': 'ada', 'currency_from': 'gbp', 'amount': 1800}",,,,,,,
15,NOWPayments,3.Getestimatedprice,Calculate the approximate price in tron for 900 Brazilian reals using my API key.,"{'x-api-key': '<your_api_key>', 'currency_to': 'trx', 'currency_from': 'brl', 'amount': 900}",,,,,,,
16,OTT details,Advanced Search,Find movies released between 1990 and 2000 with an IMDb rating between 7 and 8 in the action genre.,"{'start_year': 1990, 'end_year': 2000, 'min_imdb': 7, 'max_imdb': 8, 'genre': 'action', 'type': 'movie'}",,,,,,,
16,OTT details,Advanced Search,Show me the highest rated TV shows in English released after 2010.,"{'type': 'show', 'language': 'english', 'start_year': 2010, 'sort': 'highestrated'}",,,,,,,
16,OTT details,Advanced Search,List horror and thriller movies in German language sorted by oldest first.,"{'genre': 'horror,thriller', 'language': 'german', 'type': 'movie', 'sort': 'oldest'}",,,,,,,
16,OTT details,Advanced Search,Get the latest comedy shows with IMDb rating at least 6.5.,"{'type': 'show', 'genre': 'comedy', 'min_imdb': 6.5, 'sort': 'latest'}",,,,,,,
16,OTT details,Advanced Search,Find movies in English released between 1980 and 1990 with IMDb rating below 7.,"{'start_year': 1980, 'end_year': 1990, 'max_imdb': 7, 'language': 'english', 'type': 'movie'}",,,,,,,
16,OTT details,Advanced Search,Show me page 2 of the latest drama movies with IMDb rating between 6 and 8.,"{'page': 2, 'genre': 'drama', 'min_imdb': 6, 'max_imdb': 8, 'sort': 'latest', 'type': 'movie'}",,,,,,,
16,OTT details,Advanced Search,List all animated shows in English and Spanish with IMDb rating above 7.5.,"{'type': 'show', 'genre': 'animated', 'language': 'english,spanish', 'min_imdb': 7.5}",,,,,,,
16,OTT details,Advanced Search,Find the oldest romance movies released before 1985 sorted by oldest first.,"{'end_year': 1985, 'genre': 'romance', 'type': 'movie', 'sort': 'oldest'}",,,,,,,
16,OTT details,Advanced Search,Get the lowest rated sci-fi shows released between 2000 and 2015.,"{'type': 'show', 'genre': 'sci-fi', 'start_year': 2000, 'end_year': 2015, 'sort': 'lowestrated'}",,,,,,,
