llm_as_judge,api,api_method,utterance,evaluation
gpt-4.1,unogsNG,Expiring,Show the expiring Netflix content in Italy and Spain.,natural
gpt-4.1,unogsNG,Expiring,"Can you list the expiring Netflix shows in South Korea, but only the top 20?",natural
gpt-4.1,unogsNG,Expiring,Find out which Netflix titles are expiring soon in Mexico.,natural
gpt-4.1,unogsNG,People,Can you find the Netflix ID for the actor Tom Hanks?,unnatural
gpt-4.1,unogsNG,People,Show me the Netflix person ID for Meryl Streep.,unnatural
gpt-4.1,unogsNG,People,I need the person ID for Leonardo DiCaprio on Netflix.,unnatural
gpt-4.1,unogsNG,People,Get the Netflix person ID for the title with ID 80057281.,unnatural
gpt-4.1,unogsNG,People,Find the Netflix person ID for the title ID 70143836.,unnatural
gpt-4.1,unogsNG,People,"Retrieve the person ID for Emma Watson on Netflix, but limit the results to 10.",unnatural
gpt-4.1,unogsNG,People,Can you get the Netflix person ID for the title ID 70221438 and limit the results to 5?,unnatural
gpt-4.1,unogsNG,People,Please find the Netflix person ID for the actor Robert Downey Jr. with a result limit of 20.,unnatural
gpt-4.1,unogsNG,People,Look up the Netflix person ID for the title ID 80117401 and limit the results to 15.,unnatural
gpt-4.1,unogsNG,People,Can you search for the Netflix person ID for Scarlett Johansson?,unnatural
gpt-4.1,unogsNG,Episodes,Can you find the episode details for the Netflix title 'Stranger Things'?,natural
gpt-4.1,unogsNG,Episodes,I want to know more about episode 3 of season 2 of 'The Crown'.,natural
gpt-4.1,unogsNG,Episodes,Show me the episodes for the Netflix series with ID 70264888.,unnatural
gpt-4.1,unogsNG,Episodes,What are the details for episode 5 of season 1 of 'Black Mirror'?,natural
gpt-4.1,unogsNG,Episodes,Get me the episode list for the Netflix show 'Narcos'.,natural
gpt-4.1,unogsNG,Episodes,I'd like to see the information for episode 2 of season 3 of 'Money Heist'.,natural
gpt-4.1,unogsNG,Episodes,Can you provide details for the Netflix series with ID 80057281?,unnatural
gpt-4.1,unogsNG,Episodes,Find the episode information for season 4 of 'Lucifer'.,natural
gpt-4.1,unogsNG,Episodes,I need the details for episode 7 of season 5 of 'Breaking Bad'.,natural
gpt-4.1,unogsNG,Episodes,What episodes are available for the Netflix title 'The Witcher'?,natural
gpt-4.1,unogsNG,Deleted,"Can you show me the Netflix titles that were removed after January 1, 2020?",natural
gpt-4.1,unogsNG,Deleted,What movies were deleted from Netflix in the United States?,natural
gpt-4.1,unogsNG,Deleted,Find out which titles were removed from Netflix in Canada and the UK.,natural
gpt-4.1,unogsNG,Deleted,I want to know if the title with Netflix ID '80057281' has been deleted.,unnatural
gpt-4.1,unogsNG,Deleted,"List the shows that were taken off Netflix after March 15, 2021, in Australia.",natural
gpt-4.1,unogsNG,Deleted,Were there any titles removed from Netflix in Japan recently?,natural
gpt-4.1,unogsNG,Deleted,"Check if the movie with Netflix ID '70242311' was deleted after February 1, 2022.",unnatural
gpt-4.1,unogsNG,Deleted,Can you tell me which titles were removed from Netflix in Germany and France?,natural
gpt-4.1,unogsNG,Deleted,"Show me the titles that were deleted from Netflix after July 10, 2020, in India.",natural
gpt-4.1,unogsNG,Deleted,Find out if the series with Netflix ID '80100172' was removed from the platform.,unnatural
gpt-4.1,unogsNG,Search,Find me some Netflix movies from 2010 with a rating up to 8.,natural
gpt-4.1,unogsNG,Search,Show me the top 5 series available in Spanish.,natural
gpt-4.1,unogsNG,Search,Can you list Netflix titles with French subtitles released after 2020?,natural
gpt-4.1,unogsNG,Search,Search for action movies with an IMDb rating between 7 and 9.,natural
gpt-4.1,unogsNG,Search,I want to see all the series from 2015 sorted by title.,natural
gpt-4.1,unogsNG,Search,Find me movies available in both English and Spanish.,natural
gpt-4.1,unogsNG,Search,Show me the latest Netflix releases in the US.,natural
gpt-4.1,unogsNG,Search,Look for comedy series with a runtime of less than 30 minutes.,natural
gpt-4.1,unogsNG,Search,Find all titles with a release year between 2000 and 2010.,unnatural
gpt-4.1,unogsNG,Search,Search for documentaries available in Germany with a rating above 6.,natural
gpt-4.1,Horse Racing,Race detail info,Can you provide detailed information about the race with ID 207660?,unnatural
gpt-4.1,Horse Racing,Race detail info,I need the racecard details for the event with ID 305789.,unnatural
gpt-4.1,Horse Racing,Race detail info,Show me the odds comparator for the race identified by 412345.,unnatural
gpt-4.1,Horse Racing,Race detail info,What's the detailed info for the horse race with ID 523678?,unnatural
gpt-4.1,Horse Racing,Race detail info,Give me the racecard details for the race with ID 634890.,unnatural
gpt-4.1,Horse Racing,Race detail info,I'd like to see the odds comparison for the race with ID 745901.,unnatural
gpt-4.1,Horse Racing,Race detail info,Can you get me the detailed race information for the event with ID 856012?,unnatural
gpt-4.1,Horse Racing,Race detail info,Please show the racecard details for the race ID 967123.,unnatural
gpt-4.1,Horse Racing,Race detail info,I want to know the odds for the race with ID 107234.,unnatural
gpt-4.1,Horse Racing,Race detail info,Fetch the detailed race information for the race with ID 118345.,unnatural
gpt-4.1,Horse Racing,Query races,Show me the races happening at Ascot next week.,natural
gpt-4.1,Horse Racing,Query races,Find all races where the horse with ID 5678 is running.,unnatural
gpt-4.1,Horse Racing,Query races,List the upcoming novice races in Cheltenham.,natural
gpt-4.1,Horse Racing,Query races,Can you show me the races from last month ordered by date descending?,natural
gpt-4.1,Horse Racing,Query races,What are the races with a maximum class of 3 at Newmarket?,unnatural
gpt-4.1,Horse Racing,Query races,Find races between 1 mile and 2 miles happening this weekend.,natural
gpt-4.1,Horse Racing,Query races,Show me the handicap chase races at Ascot.,natural
gpt-4.1,Horse Racing,Query races,List all hurdle races with a class between 1 and 5.,unnatural
gpt-4.1,Horse Racing,Query races,Find races happening today at Newmarket.,natural
gpt-4.1,Horse Racing,Query races,What are the races happening in Cheltenham ordered by date ascending?,unnatural
gpt-4.1,Horse Racing,Horse Stats,Can you show me the race history for the horse named Sea Biscuit?,natural
gpt-4.1,Horse Racing,Horse Stats,I'd like to see the past performance of the horse called Black Beauty.,natural
gpt-4.1,Horse Racing,Horse Stats,What are the previous race results for the horse Secretariat?,natural
gpt-4.1,Horse Racing,Horse Stats,Please provide the racing stats for the horse named Red Rum.,natural
gpt-4.1,Horse Racing,Horse Stats,Can you give me the historical results for the horse named Man o' War?,natural
gpt-4.1,Horse Racing,Horse Stats,I'd like to know the race history of the horse named Phar Lap.,natural
gpt-4.1,Horse Racing,Horse Stats,Show me the past race results for the horse named Arkle.,natural
gpt-4.1,Horse Racing,Horse Stats,What are the historical race results for the horse named Frankel?,natural
gpt-4.1,Horse Racing,Horse Stats,Can you provide the race history for the horse named Zenyatta?,natural
gpt-4.1,Horse Racing,Horse Stats,I'd like to see the past performance of the horse named American Pharoah.,natural
gpt-4.1,Horse Racing,Query horses,Can you find information on the horse named 'Galileo'?,natural
gpt-4.1,Horse Racing,Query horses,I'm looking for details about a horse called 'Enable'.,natural
gpt-4.1,Horse Racing,Query horses,Please search for a horse with the name 'Frankel'.,natural
gpt-4.1,Horse Racing,Query horses,Do you have any data on a horse named 'Sea The Stars'?,natural
gpt-4.1,Horse Racing,Query horses,I'd like to know more about the horse 'Nijinsky'.,natural
gpt-4.1,Horse Racing,Query horses,Can you provide information on 'Shergar'?,natural
gpt-4.1,Horse Racing,Query horses,Find the horse named 'Arkle' for me.,natural
gpt-4.1,Horse Racing,Query horses,Could you look up a horse called 'Red Rum'?,natural
gpt-4.1,Horse Racing,Query horses,I need details on a horse with the name 'Desert Orchid'.,natural
gpt-4.1,Horse Racing,Query horses,Search for information about the horse 'Mill Reef'.,natural
gpt-4.1,Horse Racing,Racecards,Can you show me the horse races happening today?,natural
gpt-4.1,Horse Racing,Racecards,"What horse races are scheduled for March 12, 2020?",natural
gpt-4.1,Horse Racing,Racecards,I'd like to know the horse races for next Saturday.,natural
gpt-4.1,Horse Racing,Racecards,Give me the list of horse races for the upcoming weekend.,natural
gpt-4.1,Horse Racing,Racecards,What are the horse racing events on Christmas Day?,natural
gpt-4.1,Horse Racing,Racecards,Show me the horse races for New Year's Eve.,natural
gpt-4.1,Horse Racing,Racecards,Can you provide the horse racing schedule for the first day of next month?,natural
gpt-4.1,Horse Racing,Racecards,I want to see the horse races planned for the last day of this year.,natural
gpt-4.1,Horse Racing,Racecards,What horse races are happening on Halloween?,natural
gpt-4.1,Horse Racing,Racecards,Could you tell me the horse races for the upcoming Friday?,natural
gpt-4.1,Horse Racing,Results,"Can you show me the horse racing results for March 13, 2020?",natural
gpt-4.1,Horse Racing,Results,"What were the results of the horse races on April 5, 2021?",natural
gpt-4.1,Horse Racing,Results,"I'd like to see the horse racing outcomes from June 10, 2022.",natural
gpt-4.1,Horse Racing,Results,"Please provide the results for the horse races held on July 20, 2023.",natural
gpt-4.1,Horse Racing,Results,"Could you give me the horse racing results for February 14, 2021?",natural
gpt-4.1,Horse Racing,Results,"I want to know the results of the horse races from December 25, 2020.",natural
gpt-4.1,Horse Racing,Results,"Show me the horse racing results for August 8, 2022.",natural
gpt-4.1,Horse Racing,Results,"What were the outcomes of the horse races on November 11, 2023?",natural
gpt-4.1,Horse Racing,Results,"I'd like to see the results from the horse races on September 30, 2021.",natural
gpt-4.1,Horse Racing,Results,"Can you provide the horse racing results for May 15, 2020?",natural
gpt-4.1,Horse Racing,Jockeys win rate,Can you tell me the win rate of jockeys over the past 7 days?,natural
gpt-4.1,Horse Racing,Jockeys win rate,I'd like to know the jockeys' stats for the last 3 days.,natural
gpt-4.1,Horse Racing,Jockeys win rate,Show me the jockeys' win rate for the past 10 days.,natural
gpt-4.1,Horse Racing,Jockeys win rate,What are the jockeys' win statistics for the last 5 days?,natural
gpt-4.1,Horse Racing,Jockeys win rate,Give me the jockeys' performance data for the past 14 days.,natural
gpt-4.1,Horse Racing,Jockeys win rate,I'd like to see the jockeys' win rate over the last 2 days.,natural
gpt-4.1,Horse Racing,Jockeys win rate,Can you provide the jockeys' win stats for the last 8 days?,natural
gpt-4.1,Horse Racing,Jockeys win rate,Please show me the jockeys' win rate for the past 6 days.,natural
gpt-4.1,Horse Racing,Jockeys win rate,I want to know the jockeys' win rate for the last 4 days.,natural
gpt-4.1,Horse Racing,Jockeys win rate,Could you give me the jockeys' win statistics for the past 9 days?,natural
gpt-4.1,Horse Racing,Trainers win rate,Can you tell me the trainers' win rates for the past 7 days?,natural
gpt-4.1,Horse Racing,Trainers win rate,I'd like to know the trainers' statistics for the last 3 days.,natural
gpt-4.1,Horse Racing,Trainers win rate,Show me the trainers' win rates over the past 10 days.,natural
gpt-4.1,Horse Racing,Trainers win rate,What are the trainers' win rates for the last 5 days?,natural
gpt-4.1,Horse Racing,Trainers win rate,Give me the trainers' performance stats for the past 14 days.,natural
gpt-4.1,Horse Racing,Trainers win rate,I'd like to see the trainers' win rates for the last 2 days.,natural
gpt-4.1,Horse Racing,Trainers win rate,Can you provide the trainers' win statistics for the past 8 days?,natural
gpt-4.1,Horse Racing,Trainers win rate,Show me the trainers' win rates for the last 6 days.,natural
gpt-4.1,Horse Racing,Trainers win rate,What are the trainers' win statistics for the past 4 days?,natural
gpt-4.1,Horse Racing,Trainers win rate,I'd like to know the trainers' win rates over the last 9 days.,natural
gpt-4.1,Tasty,recipes/list,Can you show me some popular recipes?,natural
gpt-4.1,Tasty,recipes/list,Find recipes for chocolate cake.,natural
gpt-4.1,Tasty,recipes/list,What are some quick recipes under 30 minutes?,natural
gpt-4.1,Tasty,recipes/list,List the latest approved recipes.,unnatural
gpt-4.1,Tasty,recipes/list,Do you have any vegan recipes?,natural
gpt-4.1,Tasty,recipes/list,Show me recipes for pasta sorted by the oldest approval date.,unnatural
gpt-4.1,Tasty,recipes/list,Find some dessert recipes.,natural
gpt-4.1,Tasty,recipes/list,Can you list recipes for chicken curry?,natural
gpt-4.1,Tasty,recipes/list,What are some recipes for a quick breakfast?,natural
gpt-4.1,Tasty,recipes/list,Show me the most recently approved vegetarian recipes.,natural
gpt-4.1,Tasty,tips/list,Can you show me the tips for the Spaghetti Carbonara recipe?,natural
gpt-4.1,Tasty,tips/list,I need some reviews for the Chocolate Cake recipe.,natural
gpt-4.1,Tasty,tips/list,What are the tips for making the best Chicken Alfredo?,natural
gpt-4.1,Tasty,tips/list,Could you provide the reviews for the Vegan Tacos recipe?,natural
gpt-4.1,Tasty,tips/list,I'd like to see the tips for the Beef Stroganoff recipe.,natural
gpt-4.1,Tasty,tips/list,What do people say about the Margherita Pizza recipe?,natural
gpt-4.1,Tasty,tips/list,Can you give me the reviews for the Lemon Drizzle Cake?,natural
gpt-4.1,Tasty,tips/list,I want to know the tips for the Pad Thai recipe.,natural
gpt-4.1,Tasty,tips/list,Show me the reviews for the French Onion Soup recipe.,natural
gpt-4.1,Tasty,tips/list,What are the tips for the best way to make Ratatouille?,natural
gpt-4.1,Tasty,recipes/detail (Deprecated),Can you give me more details about the recipe with ID 5586?,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),I need the full recipe information for the dish with ID 1024.,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),What are the ingredients for the recipe with ID 3456?,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),Please provide the nutritional info for the recipe with ID 7890.,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),Tell me the preparation steps for the recipe with ID 2345.,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),I'd like to know more about the recipe with ID 6789.,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),Can you show me the detailed recipe for the dish with ID 9876?,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),What is the full recipe for the meal with ID 4321?,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),Give me the complete recipe details for the ID 1234.,unnatural
gpt-4.1,Tasty,recipes/detail (Deprecated),I want to see the recipe information for the ID 5678.,unnatural
gpt-4.1,Tasty,feeds/list,Show me the latest vegetarian recipes in the timezone +0530.,unnatural
gpt-4.1,Tasty,feeds/list,Can you list the newest food feeds for non-vegetarians in the timezone -0400?,unnatural
gpt-4.1,Tasty,feeds/list,I'd like to see the latest vegetarian food updates in the timezone +0200.,unnatural
gpt-4.1,Tasty,feeds/list,What are the new recipes available for non-vegetarians in the timezone +0000?,unnatural
gpt-4.1,Tasty,feeds/list,Give me the latest vegetarian food feeds in the timezone -0700.,unnatural
gpt-4.1,Tasty,feeds/list,List the newest non-vegetarian recipes in the timezone +0800.,unnatural
gpt-4.1,Tasty,feeds/list,Can you provide the latest vegetarian recipes in the timezone -0500?,unnatural
gpt-4.1,Tasty,feeds/list,Show the latest non-vegetarian food updates in the timezone +0300.,unnatural
gpt-4.1,Tasty,feeds/list,I'd like to know the newest vegetarian food feeds in the timezone +0600.,unnatural
gpt-4.1,Tasty,feeds/list,What are the latest non-vegetarian recipes in the timezone -0300?,unnatural
gpt-4.1,Tasty,feeds/list,Show me the latest vegetarian recipes in the timezone +0530.,unnatural
gpt-4.1,Tasty,feeds/list,Can you list the newest food feeds for non-vegetarians in the timezone -0400?,unnatural
gpt-4.1,Tasty,feeds/list,I'd like to see the latest vegetarian food updates for timezone +0200.,unnatural
gpt-4.1,Tasty,feeds/list,What are the new recipes available for non-vegetarians in the timezone +0000?,unnatural
gpt-4.1,Tasty,feeds/list,Give me the latest vegetarian food feeds in the timezone -0700.,unnatural
gpt-4.1,Tasty,feeds/list,List the newest non-vegetarian recipes for the timezone +0800.,unnatural
gpt-4.1,Tasty,feeds/list,I want to see the latest vegetarian recipes in the timezone -0500.,unnatural
gpt-4.1,Tasty,feeds/list,Could you show me the latest non-vegetarian food updates for timezone +0300?,unnatural
gpt-4.1,Tasty,feeds/list,Please list the latest vegetarian food options in the timezone +0600.,unnatural
gpt-4.1,Tasty,feeds/list,What are the new non-vegetarian recipes available in the timezone -0300?,unnatural
gpt-4.1,Tasty,tags/list,Can you show me the list of tags available for filtering recipes?,natural
gpt-4.1,Tasty,tags/list,What tags can I use to filter my recipe search?,natural
gpt-4.1,Tasty,tags/list,I need to know the supported tags for recipe filtering.,unnatural
gpt-4.1,Tasty,tags/list,Could you provide the available tags for filtering recipes?,unnatural
gpt-4.1,Tasty,tags/list,List all the tags I can use to filter recipes.,natural
gpt-4.1,Tasty,tags/list,What are the tags available for filtering in the recipe search?,unnatural
gpt-4.1,Tasty,tags/list,Give me the list of tags that can be used for filtering recipes.,unnatural
gpt-4.1,Tasty,tags/list,I want to see the tags supported for recipe filtering.,unnatural
gpt-4.1,Tasty,tags/list,Can you list the tags that are available for filtering recipes?,natural
gpt-4.1,Tasty,tags/list,What are the supported tags for filtering recipes?,unnatural
gpt-4.1,Tasty,recipes/list-similarities,Can you find recipes similar to the Chocolate Lava Cake?,natural
gpt-4.1,Tasty,recipes/list-similarities,Show me dishes that are like the Spaghetti Carbonara.,natural
gpt-4.1,Tasty,recipes/list-similarities,What recipes are similar to the Vegan Tacos?,natural
gpt-4.1,Tasty,recipes/list-similarities,Find recipes that resemble the Chicken Alfredo.,natural
gpt-4.1,Tasty,recipes/list-similarities,I need recipes similar to the Beef Stroganoff.,natural
gpt-4.1,Tasty,recipes/list-similarities,Could you list recipes like the Margherita Pizza?,natural
gpt-4.1,Tasty,recipes/list-similarities,What are some recipes similar to the Caesar Salad?,natural
gpt-4.1,Tasty,recipes/list-similarities,Show recipes that are similar to the Pad Thai.,natural
gpt-4.1,Tasty,recipes/list-similarities,Find dishes that are like the French Onion Soup.,natural
gpt-4.1,Tasty,recipes/list-similarities,Can you list recipes similar to the Apple Pie?,natural
gpt-4.1,Tasty,recipes/auto-complete,Can you suggest some recipes starting with 'pasta'?,natural
gpt-4.1,Tasty,recipes/auto-complete,I'm looking for dishes that begin with 'avocado'.,natural
gpt-4.1,Tasty,recipes/auto-complete,What recipes can you find that start with 'banana'?,natural
gpt-4.1,Tasty,recipes/auto-complete,Show me some meal ideas with the prefix 'quinoa'.,unnatural
gpt-4.1,Tasty,recipes/auto-complete,Do you have any suggestions for recipes that start with 'salmon'?,natural
gpt-4.1,Tasty,recipes/auto-complete,Find recipes that begin with 'broccoli'.,unnatural
gpt-4.1,Tasty,recipes/auto-complete,I'm interested in dishes starting with 'tofu'.,natural
gpt-4.1,Tasty,recipes/auto-complete,Can you list some recipes with the prefix 'mango'?,unnatural
gpt-4.1,Tasty,recipes/auto-complete,What are some recipe ideas that start with 'beef'?,natural
gpt-4.1,Tasty,recipes/auto-complete,Give me some suggestions for meals starting with 'spinach'.,natural
gpt-4.1,Tasty,recipes/get-more-info,Can you give me more details about the recipe with ID 8138?,unnatural
gpt-4.1,Tasty,recipes/get-more-info,I need additional information on the recipe identified by ID 1024.,unnatural
gpt-4.1,Tasty,recipes/get-more-info,What are the extra details for the recipe with the ID 5678?,unnatural
gpt-4.1,Tasty,recipes/get-more-info,Could you provide more info on the recipe with ID 3456?,unnatural
gpt-4.1,Tasty,recipes/get-more-info,Tell me more about the recipe that has the ID 7890.,unnatural
gpt-4.1,Tasty,recipes/get-more-info,I'd like to know more about the recipe with ID 2345.,unnatural
gpt-4.1,Tasty,recipes/get-more-info,Please fetch additional details for the recipe with ID 6789.,unnatural
gpt-4.1,Tasty,recipes/get-more-info,Can you show me more information about the recipe with ID 4567?,unnatural
gpt-4.1,Tasty,recipes/get-more-info,I want to see more details for the recipe identified by ID 8901.,unnatural
gpt-4.1,Tasty,recipes/get-more-info,Get me more information on the recipe with the ID 1234.,unnatural
gpt-4.1,Workout Planner,Get Customized Plan,I want a workout plan for muscle gain focusing on my legs using dumbbells for 45 minutes.,natural
gpt-4.1,Workout Planner,Get Customized Plan,Can you create a plan for weight loss targeting my abs with a jump rope for 20 minutes?,natural
gpt-4.1,Workout Planner,Get Customized Plan,I need a strength training routine for my chest using a barbell for 60 minutes.,natural
gpt-4.1,Workout Planner,Get Customized Plan,"Give me a workout plan for cardiovascular endurance with no equipment, focusing on my back for 30 minutes.",natural
gpt-4.1,Workout Planner,Get Customized Plan,I'd like a flexibility workout for my shoulders using a yoga mat for 15 minutes.,natural
gpt-4.1,Workout Planner,Get Customized Plan,Create a general fitness plan for my triceps with resistance bands for 25 minutes.,natural
gpt-4.1,Workout Planner,Get Customized Plan,I want an advanced workout for muscle gain targeting my biceps with a pull-up bar for 40 minutes.,natural
gpt-4.1,Workout Planner,Get Customized Plan,Can you suggest an intermediate plan for strength training focusing on my abs with a medicine ball for 35 minutes?,natural
gpt-4.1,Workout Planner,Get Customized Plan,I need a beginner workout for weight loss targeting my legs using a treadmill for 50 minutes.,natural
gpt-4.1,Workout Planner,Get Customized Plan,Give me a plan for cardiovascular endurance with a stationary bike focusing on my chest for 30 minutes.,natural
gpt-4.1,Workout Planner,Get Workout Plan,Can you suggest a 45-minute workout plan for my legs using resistance bands at home?,natural
gpt-4.1,Workout Planner,Get Workout Plan,I need a 20-minute workout focusing on my abs with a yoga mat in the park.,natural
gpt-4.1,Workout Planner,Get Workout Plan,What's a good 60-minute routine for my back using a pull-up bar at the gym?,natural
gpt-4.1,Workout Planner,Get Workout Plan,Give me a 15-minute chest workout plan with dumbbells in my living room.,natural
gpt-4.1,Workout Planner,Get Workout Plan,I want a 30-minute workout for my shoulders using kettlebells at the beach.,natural
gpt-4.1,Workout Planner,Get Workout Plan,Can you provide a 50-minute plan for my triceps with a resistance band in the backyard?,natural
gpt-4.1,Workout Planner,Get Workout Plan,Suggest a 25-minute workout for my calves using a jump rope in the garage.,natural
gpt-4.1,Workout Planner,Get Workout Plan,I need a 40-minute full-body workout with a medicine ball at the community center.,natural
gpt-4.1,Workout Planner,Get Workout Plan,What's a 35-minute routine for my glutes using a stability ball in the basement?,natural
gpt-4.1,Workout Planner,Get Workout Plan,Can you recommend a 55-minute workout for my forearms with a barbell at the sports complex?,natural
gpt-4.1,India Pincode with Latitude and Longitude,"DistanceBetweenTwoLat,Lng",How far is it from Chennai to Bangalore in kilometers?,natural
gpt-4.1,India Pincode with Latitude and Longitude,"DistanceBetweenTwoLat,Lng",Can you tell me the distance between Mumbai and Pune in nautical miles?,natural
