api,api_method,utterance,human_judge,gpt-4.1_judge,Meta-Llama-3.1-70B-Instruct-Turbo_judge
Sentiment Analysis,Analyze (post),"Can you analyze the sentiment of 'The app crashes frequently, but the features are great'?",natural,natural,natural
Omniinfer,Image to  Image,Can you transform this picture into a new style?,natural,natural,natural
Sentiment Analysis,Analyze (post),Determine the tone of this comment: 'The movie was boring and too long.',natural,unnatural,unnatural
NLP Translation,Translate,Can you convert 'Good luck' into Russian?,natural,natural,natural
unogsNG,Genres,Can you tell me about the different genres on Netflix?,natural,natural,natural
Forward & Reverse Geocoding,ForwardGeocoding,"Find the latitude and longitude for a location in Tokyo, Japan, within the viewbox 139.6917,35.6895,139.7000,35.7000.",unnatural,unnatural,unnatural
Transportistas de Argentina,/tracking/correo_argentino/result_task/:task_id,Could you find the result for task ID ARG20231231?,unnatural,unnatural,unnatural
Mobile Phone Specs Database,List  all {Models} by {Phone Brand},I'd like to know the models available from Motorola.,natural,natural,natural
MoviesDatabase,/titles,Can you show me the image info for the most popular movies of 2017?,natural,unnatural,natural
Quality Porn,Top 10 search queries,List the top 10 search queries for pornstars.,natural,natural,natural
webcams.travel,"/webcams/list/continent={continent}[,{continent}[,...]]",What countries have webcams in North America?,natural,natural,natural
GamerPower,Live giveaways by platform & type & sorted,Are there any free game keys available for Epic Games?,natural,natural,natural
Latest Stock Price,price,Fetch the latest prices for stocks listed under the Nifty Bank index.,unnatural,unnatural,unnatural
webcams.travel,"/webcams/list/webcam={webcamid}[,{webcamid}[,...]]",Show me the properties of the webcam located at the Colosseum.,unnatural,natural,natural
Cricket Live Data,Fixtures By Date,"Can you provide the cricket fixtures for May 20, 2024?",natural,natural,natural
webcams.travel,"/webcams/list/limit={limit},{offset}",I need a list of 30 webcams with their countries.,unnatural,unnatural,unnatural
Taobao Tmall 1688,get item form url or share text,Could you fetch the details of the item from this URL: https://qr.1688.com/share.html?secret=jkl345?,natural,unnatural,unnatural
Find any IP address or Domain Location world wide,IP location by domain name,Get me the geo location information for the domain name linkedin.com.,unnatural,unnatural,unnatural
webcams.travel,"/webcams/list/continent={continent}[,{continent}[,...]]",List the properties of webcams in South America.,unnatural,unnatural,unnatural
Quality Porn,Live room bio,Could you provide the bio for lil_eva's room?,unnatural,unnatural,natural
MoviesDatabase,/titles/search/keyword/{keyword},Search for animated series released after 2000.,natural,natural,natural
GamerPower,Live giveaways by platform,Are there any free games on the Nintendo Switch?,natural,natural,natural
Cricket Live Data,Fixtures By Series,Can you show me the fixtures for the IPL 2023?,natural,natural,natural
Forward & Reverse Geocoding,GeocodingSearch,"What's the address of the Colosseum in Rome, Italy?",natural,natural,natural
webcams.travel,"/webcams/list/category={category}[,{category}[,...]]",I want to see webcams in the lakes and rivers categories.,natural,natural,natural
Tasty,feeds/list,Give me the latest vegetarian food feeds in the timezone -0700.,unnatural,unnatural,unnatural
Newscatcher,/v1/aggregation,I need the number of science articles published in the last 48 hours.,natural,natural,natural
Latest Stock Price,price,Get me the latest stock price for HDFC Bank in the Nifty Financial Services index.,natural,natural,natural
Sentiment Analysis,Analyze (post),Analyze the sentiment of this review: 'I am disappointed with the product quality and customer support.',natural,unnatural,unnatural
Mobile Phone Specs Database,List all {Phone Brands},Show me all the brands of mobile phones in your database.,unnatural,unnatural,unnatural
Horse Racing,Jockeys win rate,I'd like to see the jockeys' win rate over the last 2 days.,natural,natural,natural
Latest Stock Price,price_all,I need the latest stock price for Maruti Suzuki.,natural,natural,natural
IsItWater.com,Is a coordinate water?,Is there water at the coordinates 37.7749 latitude and -122.4194 longitude?,natural,unnatural,unnatural
Tasty,tags/list,Could you provide the available tags for filtering recipes?,unnatural,unnatural,natural
NLP Translation,Translate,Could you convert 'Thank you for your help' into Italian?,natural,natural,natural
MoviesDatabase,/titles/{id}/crew,Find out who was in the crew for the title with IMDb ID tt0167260.,unnatural,unnatural,unnatural
Find any IP address or Domain Location world wide,IP location by IPv6 IP Address,I need the geographical information for the IPv6 address 2607:f0d0:1002:51::4.,natural,unnatural,unnatural
Transportistas de Argentina,/quotes/postcode/andreani/:clientNumber/:contractNumber/:officeIsoSrc/:postCodeDst,Please provide a shipping quote from Bariloche to postal code 1100 using client number 7788 and contract number 9900.,unnatural,unnatural,unnatural
Domainr,/v2/register,Can you register the domain healthyliving.info using Bluehost?,natural,natural,natural
MoviesDatabase,/titles/random,Give me a few random series from 2018 sorted by year in ascending order.,unnatural,unnatural,unnatural
Transportistas de Argentina,/quotes/postcode/correo_argentino/:weight/:postCodeSrc/:postCodeDst,How much would it be to send a 9 kg parcel from postal code 1900 to 2000?,natural,natural,natural
CAISO,caiso,Can you give me the net demand data for the entire year of 2022?,unnatural,natural,unnatural
Horse Racing,Query races,Find races between 1 mile and 2 miles happening this weekend.,natural,natural,natural
Candlestick Chart,Health,Check if the candlestick chart service is currently active.,unnatural,unnatural,unnatural
Mobile Phone Specs Database,Get {Phone Image ids} by {Custom id},I want to see the photos for the LG Velvet.,natural,natural,natural
GamerPower,All live giveaways,I'd like to know about all the active gaming giveaways.,natural,natural,natural
IP Geolocation - IPWHOIS.io,JSON endpoint,I'd like to know the geolocation of the IP address 2607:f0d0:1002:51::5.,natural,unnatural,unnatural
